date,direction,prior_close,signal_px,entry,exit,gross_points,net_points,net_usd,scenario
2026-02-25 00:00:00-05:00,long,6903.25,6957.75,6957.75,6959.5,1.75,1.15,57.49999999999999,PRIMARY
2026-02-26 00:00:00-05:00,short,6959.5,6914.75,6914.75,6921.5,-6.75,-7.35,-367.5,PRIMARY
2026-02-27 00:00:00-05:00,short,6921.5,6881.5,6881.25,6888.25,-7.0,-7.6,-380.0,PRIMARY
2026-03-02 00:00:00-05:00,short,6888.25,6877.5,6877.5,6886.75,-9.25,-9.85,-492.5,PRIMARY
2026-03-03 00:00:00-05:00,short,6886.75,6833.75,6833.75,6826.0,7.75,7.15,357.5,PRIMARY
2026-03-04 00:00:00-05:00,long,6826.0,6885.0,6884.75,6873.0,-11.75,-12.35,-617.5,PRIMARY
2026-03-05 00:00:00-05:00,short,6873.0,6816.25,6816.25,6835.0,-18.75,-19.35,-967.5000000000001,PRIMARY
2026-03-06 00:00:00-05:00,short,6835.0,6740.75,6740.5,6742.5,-2.0,-2.6,-130.0,PRIMARY
2026-03-09 00:00:00-04:00,long,6742.5,6792.5,6792.75,6801.75,9.0,8.4,420.0,PRIMARY
2026-03-10 00:00:00-04:00,short,6801.75,6791.5,6791.75,6788.0,3.75,3.15,157.5,PRIMARY
2026-03-11 00:00:00-04:00,short,6788.0,6766.5,6766.5,6780.0,-13.5,-14.1,-705.0,PRIMARY
2026-03-12 00:00:00-04:00,short,6780.0,6696.25,6696.25,6676.5,19.75,19.15,957.4999999999999,PRIMARY
2026-03-13 00:00:00-04:00,short,6676.5,6637.0,6637.0,6637.0,-0.0,-0.6,-30.0,PRIMARY
2026-03-16 00:00:00-04:00,long,6637.0,6756.5,6756.5,6753.75,-2.75,-3.35,-167.5,PRIMARY
2026-03-17 00:00:00-04:00,long,6753.75,6774.5,6774.5,6772.0,-2.5,-3.1,-155.0,PRIMARY
2026-03-18 00:00:00-04:00,short,6772.0,6691.25,6691.25,6677.5,13.75,13.15,657.5,PRIMARY
2026-03-19 00:00:00-04:00,short,6677.5,6664.5,6664.25,6659.0,5.25,4.65,232.50000000000003,PRIMARY
2026-03-20 00:00:00-04:00,short,6659.0,6547.75,6548.0,6562.5,-14.5,-15.1,-755.0,PRIMARY
