date,gap,side,entry,exit,net,scenario,asset,net_points
2015-09-03 00:00:00,0.004092635603161199,1,166.9086,167.1551,0.0012768561955464942,PRIMARY,SPY,
2015-09-04 00:00:00,-0.013807491610950184,-1,164.1459,164.4094,-0.0018052792058771638,PRIMARY,SPY,
2015-09-08 00:00:00,0.01755302348569132,1,166.6451,166.5941,-0.0005060396015245326,PRIMARY,SPY,
2015-09-09 00:00:00,0.009265331186749881,1,169.2803,169.2378,-0.00045106288209564285,PRIMARY,SPY,
2015-09-11 00:00:00,-0.002578237465699962,-1,165.71,166.0416,-0.002201086234988625,PRIMARY,SPY,
2015-09-15 00:00:00,0.0030610205442496152,1,166.9766,166.9086,-0.0006072426914908389,PRIMARY,SPY,
2015-09-18 00:00:00,-0.015141869636935534,-1,167.9026,167.8343,0.00020678345659916903,PRIMARY,SPY,
2015-09-21 00:00:00,0.005219261686451482,1,167.8941,167.9539,0.00015617689960520948,PRIMARY,SPY,
2015-09-22 00:00:00,-0.0131321644811494,-1,165.6552,165.903,-0.0016958781855323179,PRIMARY,SPY,
2015-09-24 00:00:00,-0.007336054151988902,-1,164.3391,164.0059,0.001827515058802276,PRIMARY,SPY,
2015-09-25 00:00:00,0.00886340063929536,1,166.0226,165.903,-0.0009203838513553107,PRIMARY,SPY,
2015-09-28 00:00:00,-0.005342108585245531,-1,163.5017,163.6555,-0.001140663002280573,PRIMARY,SPY,
2015-09-30 00:00:00,0.012337374228914122,1,162.9206,163.2966,0.0021078726692633555,PRIMARY,SPY,
2015-10-01 00:00:00,0.002139296010432501,1,164.2451,163.7153,-0.0034256670061998617,PRIMARY,SPY,
2015-10-02 00:00:00,-0.012385933457732756,-1,161.7328,161.9806,-0.001732156742479085,PRIMARY,SPY,
2015-10-05 00:00:00,0.0075902888474908,1,167.9454,168.3983,0.0024967097640067105,PRIMARY,SPY,
2015-10-07 00:00:00,0.005459997385353299,1,169.9493,170.2356,0.0014846200602180782,PRIMARY,SPY,
2015-10-08 00:00:00,-0.0025070303043814857,-1,170.0561,169.8168,0.0012071826885362348,PRIMARY,SPY,
2015-10-13 00:00:00,-0.004465405445576609,-1,171.5174,171.6456,-0.0009474460317145048,PRIMARY,SPY,
2015-10-15 00:00:00,0.004064906968713977,1,170.8252,170.9961,0.0008004378745056553,PRIMARY,SPY,
2015-10-16 00:00:00,0.002470766643262179,1,173.3205,173.3034,-0.0002986611508736468,PRIMARY,SPY,
2015-10-19 00:00:00,-0.0031510305655725324,-1,173.0898,172.8334,0.001281312012608371,PRIMARY,SPY,
2015-10-20 00:00:00,-0.002360777709930484,-1,173.423,173.2094,0.001031670539663221,PRIMARY,SPY,
2015-10-21 00:00:00,0.0026594196760176825,1,173.9358,173.7478,-0.001280858569656118,PRIMARY,SPY,
2015-10-22 00:00:00,0.005747802899007892,1,173.6281,173.6196,-0.00024895520943903884,PRIMARY,SPY,
2015-10-23 00:00:00,0.009892148890868313,1,177.0378,176.9951,-0.0004411914291750028,PRIMARY,SPY,
2015-10-27 00:00:00,-0.003720311714628277,-1,176.2003,176.3285,-0.0009275810540616767,PRIMARY,SPY,
2015-10-29 00:00:00,-0.0029675052851162453,-1,178.1487,178.3367,-0.0012552981862905765,PRIMARY,SPY,
2015-11-02 00:00:00,0.002261020645888401,1,178.0975,178.3538,0.0012390993697273035,PRIMARY,SPY,
2015-11-09 00:00:00,-0.003380447119432195,-1,178.6187,178.9691,-0.0021617206932980303,PRIMARY,SPY,
2015-11-10 00:00:00,-0.0026918127497210786,-1,177.6274,177.7385,-0.0008254665665319514,PRIMARY,SPY,
2015-11-12 00:00:00,-0.00582537508598624,-1,176.3114,176.3798,-0.0005879499567243094,PRIMARY,SPY,
2015-11-13 00:00:00,-0.0026352252049526292,-1,174.7561,174.6878,0.00019083042022558522,PRIMARY,SPY,
2015-11-18 00:00:00,0.0032135250660654258,1,176.2687,176.2858,-0.00010298901620078277,PRIMARY,SPY,
2015-11-20 00:00:00,0.004411896745230015,1,179.0631,179.1571,0.00032495461097246123,PRIMARY,SPY,
2015-11-24 00:00:00,-0.005692043062273222,-1,177.7898,178.0804,-0.0018345144659590805,PRIMARY,SPY,
2015-12-01 00:00:00,0.0036900037909459726,1,179.0289,179.2938,0.0012796493750450778,PRIMARY,SPY,
2015-12-04 00:00:00,0.0023341426849299296,1,176.2858,176.3542,0.00018800629432422794,PRIMARY,SPY,
2015-12-08 00:00:00,-0.008689574813660284,-1,176.0636,176.226,-0.001122393953094236,PRIMARY,SPY,
2015-12-09 00:00:00,-0.003720492620363447,-1,176.2174,176.9267,-0.004225141671594401,PRIMARY,SPY,
2015-12-11 00:00:00,-0.011952182174407855,-1,174.0127,173.8332,0.0008315339052838768,PRIMARY,SPY,
2015-12-15 00:00:00,0.008424138936897085,1,175.2176,175.3372,0.00048257983216302167,PRIMARY,SPY,
2015-12-16 00:00:00,0.006217038313867995,1,176.5721,176.4567,-0.0008535573853400089,PRIMARY,SPY,
2015-12-17 00:00:00,0.002019355201710482,1,177.9009,177.4907,-0.0025057781045514592,PRIMARY,SPY,
2015-12-18 00:00:00,-0.004450869098871824,-1,174.293,173.9491,0.001773114238667195,PRIMARY,SPY,
2015-12-21 00:00:00,0.007351456999677097,1,173.4074,173.0893,-0.0020344084508503667,PRIMARY,SPY,
2015-12-22 00:00:00,0.005306741176389185,1,174.0092,173.7169,-0.0018797962406583934,PRIMARY,SPY,
