scenario,scenario_role,spread_usd,commission_rt_usd,sample,entry_model,risk_rule,vol_floor_k,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R,pf_net,median_risk_price,min_risk_price,median_entry_delay_minutes,sum_net_R
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,,3.0,1,0.0,100.0,0.0,100.0,-1.0,0.0,-1.1242236024844272,0.0,0.4830000000001746,0.4830000000001746,5.0,-1.1242236024844272
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,17,64.70588235294117,35.294117647058826,0.0,0.0,-0.02941176470587496,0.9166666666666877,-0.0630250022705334,0.8263843466567867,1.9985482613330987,0.7704999999998563,1.0,-1.0714250385990678
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,17,52.94117647058824,47.05882352941176,0.0,0.0,0.058823529411764705,1.125,0.025210291847106266,1.0520080748592442,1.9985482613330987,0.7704999999998563,1.0,0.42857496140080653
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.5,17,41.17647058823529,58.82352941176471,0.0,0.0,0.029411764705879834,1.0499999999999958,-0.004201472858778595,0.9930731777058628,1.9985482613330987,0.7704999999998563,1.0,-0.0714250385992361
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.0,17,23.52941176470588,64.70588235294117,11.76470588235294,0.0,-0.10683557699715038,0.8374124101537405,-0.14044881456180877,0.7935544509277254,1.9985482613330987,0.7704999999998563,1.0,-2.387629847550749
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.5,17,17.647058823529413,70.58823529411765,11.76470588235294,0.0,-0.19507087111478877,0.7275238435059933,-0.22868410867944716,0.6912965936039327,1.9985482613330987,0.7704999999998563,1.0,-3.8876298475506017
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,CLEAN_REJECTION,STRUCTURAL,,3.0,17,17.647058823529413,70.58823529411765,11.76470588235294,0.0,-0.10683557699715038,0.8507714287087317,-0.14044881456180877,0.8104064697372798,1.9985482613330987,0.7704999999998563,1.0,-2.387629847550749
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,STRUCTURAL,,0.5,19,52.63157894736842,42.10526315789473,5.263157894736842,0.0,-0.2058537066489051,0.5610903737973976,-0.23751780627166225,0.5068294402227407,2.3709011127741633,0.8307963988527263,2.0,-4.512838319161583
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,STRUCTURAL,,1.0,19,36.84210526315789,52.63157894736842,10.526315789473683,0.0,-0.19180298281219677,0.6660083353610962,-0.22346708243495392,0.6230663266319755,2.3709011127741633,0.8307963988527263,2.0,-4.245874566264124
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,STRUCTURAL,,1.5,19,26.31578947368421,63.1578947368421,10.526315789473683,0.0,-0.2707503512332544,0.6015669701571075,-0.30241445085601154,0.569365440654952,2.3709011127741633,0.8307963988527263,2.0,-5.745874566264219
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,STRUCTURAL,,2.0,19,21.052631578947366,63.1578947368421,15.789473684210526,0.0,-0.20152406458053213,0.7034395587250701,-0.23318816420328922,0.667942844490667,2.3709011127741633,0.8307963988527263,2.0,-4.430575119862495
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,STRUCTURAL,,2.5,19,15.789473684210526,63.1578947368421,21.052631578947366,0.0,-0.2162520610422627,0.681766012496843,-0.24791616066501979,0.6469703537635206,2.3709011127741633,0.8307963988527263,2.0,-4.710407052635376
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,FAILED_AUCTION,STRUCTURAL,,3.0,19,15.789473684210526,63.1578947368421,21.052631578947366,0.0,-0.13730469262121506,0.7979440305671577,-0.1689687922439722,0.7593904617154259,2.3709011127741633,0.8307963988527263,2.0,-3.210407052635472
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,STRUCTURAL,,0.5,32,40.625,59.375,0.0,53.125,-0.390624999999983,0.34210526315792333,-0.5124446963314533,0.24878642774052412,0.6070980918605073,0.2300000000000182,0.0,-16.398230282606505
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,STRUCTURAL,,1.0,32,34.375,65.625,0.0,50.0,-0.3125,0.5238095238095238,-0.4343196963314703,0.4196093346726347,0.6070980918605073,0.2300000000000182,0.0,-13.898230282607049
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,STRUCTURAL,,1.5,32,21.875,78.125,0.0,50.0,-0.4531250000000139,0.4199999999999822,-0.5749446963314842,0.3474286592839914,0.6070980918605073,0.2300000000000182,0.0,-18.398230282607493
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,STRUCTURAL,,2.0,32,21.875,78.125,0.0,50.0,-0.34375,0.56,-0.4655696963314703,0.4715710174033735,0.6070980918605073,0.2300000000000182,0.0,-14.898230282607049
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,STRUCTURAL,,2.5,32,21.875,78.125,0.0,50.0,-0.23437499999998612,0.7000000000000177,-0.3561946963314564,0.5957133755227556,0.6070980918605073,0.2300000000000182,0.0,-11.398230282606605
S10_C6,sensitivity,0.1,6.0,DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,STRUCTURAL,,3.0,32,21.875,78.125,0.0,50.0,-0.125,0.84,-0.24681969633147027,0.7198557336421062,0.6070980918605073,0.2300000000000182,0.0,-7.898230282607049
