entry_time,exit_time,model,direction,tag,risk_ticks,raw_r,spread_cost_points,primary_r,stress_r,reason,year,period,session,hour,weekday,model_direction,md_session,md_weekday,risk_quartile
2021-01-19 11:21:00,2021-01-19 11:26:00,ou_rev,long,ou_rev_long,43.599999999998545,0.6915137614679464,0.2,0.6731651376147347,0.6548165137615232,trail,2021,DEV,MORNING_1030_1200,11,Tuesday,ou_rev__long,ou_rev__long__MORNING_1030_1200,ou_rev__long__Tuesday,Q1_TIGHT
2021-01-20 10:21:00,2021-01-20 10:34:00,or_rev,short,or_rev_short,48.0,-1.0052083333333333,0.2,-1.0218749999999999,-1.0385416666666667,stop,2021,DEV,OPEN_0930_1030,10,Wednesday,or_rev__short,or_rev__short__OPEN_0930_1030,or_rev__short__Wednesday,Q2
2021-01-20 14:28:00,2021-01-20 14:31:00,pm_mom,long,pm_mom_long,44.80000000000291,0.5569196428570418,0.2,0.5390624999999001,0.5212053571427584,trail,2021,DEV,PM_1330_1500,14,Wednesday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Wednesday,Q2
2021-01-21 10:22:00,2021-01-21 10:23:00,vwap_rev,short,vwap_rev_short,44.19999999999709,0.7138009049774884,0.2,0.695701357466175,0.6776018099548615,trail,2021,DEV,OPEN_0930_1030,10,Thursday,vwap_rev__short,vwap_rev__short__OPEN_0930_1030,vwap_rev__short__Thursday,Q2
2021-01-21 10:27:00,2021-01-21 10:28:00,vwap_scalp,short,vwap_scalp_short,42.80000000000291,-0.005841121495326705,0.2,-0.024532710280372162,-0.04322429906541762,trail,2021,DEV,OPEN_0930_1030,10,Thursday,vwap_scalp__short,vwap_scalp__short__OPEN_0930_1030,vwap_scalp__short__Thursday,Q1_TIGHT
2021-01-21 11:07:00,2021-01-21 11:11:00,ou_rev,short,ou_rev_short,52.0,0.7067307692307693,0.2,0.6913461538461538,0.6759615384615385,trail,2021,DEV,MORNING_1030_1200,11,Thursday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Thursday,Q3
2021-01-21 11:12:00,2021-01-21 11:25:00,ou_rev,short,ou_rev_short,44.0,-1.0056818181818181,0.2,-1.0238636363636362,-1.0420454545454545,trail,2021,DEV,MORNING_1030_1200,11,Thursday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Thursday,Q1_TIGHT
2021-01-21 11:27:00,2021-01-21 11:36:00,ou_rev,short,ou_rev_short,44.80000000000291,0.8470982142855943,0.2,0.8292410714284526,0.8113839285713109,trail,2021,DEV,MORNING_1030_1200,11,Thursday,ou_rev__short,ou_rev__short__MORNING_1030_1200,ou_rev__short__Thursday,Q2
2021-01-21 12:17:00,2021-01-21 12:21:00,kalman_mom,short,kalman_mom_short,43.19999999999709,0.8229166666667895,0.2,0.8043981481482698,0.78587962962975,trail,2021,DEV,LUNCH_1200_1330,12,Thursday,kalman_mom__short,kalman_mom__short__LUNCH_1200_1330,kalman_mom__short__Thursday,Q1_TIGHT
2021-01-22 10:03:00,2021-01-22 10:07:00,or_rev,short,or_rev_short,44.80000000000291,-0.00558035714285678,0.2,-0.023437499999998477,-0.04129464285714018,trail,2021,DEV,OPEN_0930_1030,10,Friday,or_rev__short,or_rev__short__OPEN_0930_1030,or_rev__short__Friday,Q2
