year,sample,entry_model,vol_floor_k,target_r,trades,widened_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_structural_risk_price,median_commission_R,min_risk_price,min_structural_risk_price,sum_net_R_legacy22,sum_net_R_cost1_5x
2024,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1269,45.8628841607565,-0.0248578389784117,0.9335955724633812,-0.0691673579192918,0.8261228105046865,-0.0913221173897318,0.7771241511458654,5.485000000000127,4.230000000000018,0.0401093892433901,1.0044721013307722,0.0750000000002728,-87.7733771995813,-115.88776696756968
2025,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.0,1285,45.83657587548638,0.0323675472165942,1.0863720734080995,0.0049784235093095,1.0128358878275912,-0.0087161383443327,0.9779054412302288,9.22751113390914,7.171999999998661,0.0238417485286521,2.280000000000655,0.1300000000005639,6.397274209462811,-11.200237772467576
2011,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1149,38.1201044386423,-0.0215609599797613,0.9497111423782242,-0.0782329732282265,0.8302044028772686,-0.1065689798524592,0.7765896340772533,4.281499999999824,3.6464999999998327,0.0513838607964519,0.8036272457621062,0.2400000000002364,-89.88968623923232,-122.4477578504756
2012,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1120,37.76785714285714,-0.0225815859501772,0.9446545892293912,-0.0864234195332748,0.8048819088949428,-0.1183443363248235,0.7432424973210606,3.7979835687468526,3.091500000000224,0.0579257239925002,0.8629231093661929,0.0064999999999599,-96.79422987726778,-132.5456566838024
2013,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1082,37.33826247689464,0.013151140319052,1.0331438172436702,-0.0504749758840417,0.8833035300628597,-0.0822880339855886,0.8174145188251706,3.857192660936085,3.2036470233585987,0.0570363283742874,0.8502586635015811,0.1449999999999818,-54.6139239065332,-89.03565277240693
2014,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1049,34.50905624404194,-0.0479168468485805,0.8868887269298356,-0.141846443167646,0.7038367063929443,-0.1888112413271788,0.6277766255148248,2.5956729668909877,2.1900000000000546,0.0847564399699816,0.5954979392960065,0.0584999999998672,-148.79691888286072,-198.06299215221057
2015,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1045,36.45933014354067,-0.0316888836748473,0.924405972947416,-0.118277761621405,0.7483602211278721,-0.1615722005946838,0.6743393006487727,2.799000000000205,2.3359999999997854,0.078599499821359,0.6570760155386539,0.0144999999999981,-123.60026089436823,-168.84294962144455
2016,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1232,39.12337662337662,-0.0220524721896923,0.9473368602695698,-0.1050248991442103,0.7746968220960193,-0.1465111126214693,0.7013076027119542,2.888401820688462,2.427279361363162,0.0761666911645894,0.5700000000001637,0.0399999999999636,-129.39067574566718,-180.5016907496502
2017,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1205,37.84232365145228,-0.0748317645497577,0.8276830912376569,-0.1844987214666366,0.6310672512174774,-0.239332199925076,0.5521989515022839,2.1809354626531414,1.8919999999998252,0.1008741449562962,0.6001383717150224,0.086999999999989,-222.3209593672971,-288.3953009097166
2018,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1305,39.310344827586206,-0.0784045170474334,0.8220424649165281,-0.1940441795290864,0.6208711335964576,-0.251864010769913,0.5408954297586379,2.041000000000168,1.734000000000151,0.1077902988730925,0.4845000000000254,0.0804999999998017,-253.22765428545785,-328.68253405473644
2019,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1177,33.81478334749362,-0.1233239197221527,0.729906499995925,-0.223091259332934,0.5711406361685694,-0.2729749291383247,0.5065297265539689,2.482360159735417,2.1344999999996617,0.0886253346989942,0.6324999999999363,0.024499999999989,-262.5784122348634,-321.29149159580817
2020,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1102,43.103448275862064,-0.0582978211177241,0.8659634869794526,-0.1088467283748784,0.7659040777361285,-0.1341211820034555,0.7207388561336788,5.15206300348105,4.10125000000005,0.042701410454375,0.7954674698975464,0.181999999999789,-119.949094669116,-147.801542567808
2021,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1222,39.770867430441896,-0.0503147853523796,0.8800251189388261,-0.1083615811073488,0.7606700164454535,-0.1373849789848333,0.7076321835453829,4.173749999999927,3.453000000000202,0.0527103970608821,1.1568500396101806,0.2049999999999272,-132.41785211318023,-167.88444431946635
2022,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1159,44.17601380500432,-0.0345470928522283,0.92061012103965,-0.0903390837971369,0.8066708314572721,-0.1182350792695912,0.7554827289515145,4.337364480438439,3.460119182651852,0.0507220458396342,1.2611170604367734,0.1229999999998199,-104.70299812088174,-137.0344568734563
2023,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1164,43.6426116838488,-0.0109727567261587,0.9739995949232306,-0.0714015493529304,0.8433464644063474,-0.1016159456663162,0.7851606096889557,4.169749999999908,3.2659593166843024,0.0527609570815598,1.0330102113551587,0.1711703964922435,-83.11140344681098,-118.28096075559208
2024,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1269,45.8628841607565,-0.0227545646281391,0.9427415635386625,-0.0670640835690191,0.8414360008607195,-0.0892188430394591,0.7953496827391017,5.485000000000127,4.230000000000018,0.0401093892433901,1.0044721013307722,0.0750000000002728,-85.10432204908531,-113.2187118170737
2025,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,1.5,1285,45.83657587548638,0.0392865302628087,1.0977560403122857,0.011897406555524,1.0285736566372774,-0.0017971552981182,0.9957585915977664,9.22751113390914,7.171999999998661,0.0238417485286521,2.280000000000655,0.1300000000005639,15.28816742384845,-2.3093445580819463
2011,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1149,38.1201044386423,-0.0398707544517398,0.9094093205979438,-0.0965427677002051,0.7960207814725224,-0.1248787743244377,0.745247285061078,4.281499999999824,3.6464999999998327,0.0513838607964519,0.8036272457621062,0.2400000000002364,-110.92764008753568,-143.48571169877897
2012,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1120,37.76785714285714,-0.0266549385309506,0.9362911634620488,-0.0904967721140482,0.8007910038437028,-0.1224176889055969,0.7410699405709825,3.7979835687468526,3.091500000000224,0.0579257239925002,0.8629231093661929,0.0064999999999599,-101.356384767734,-137.10781157426862
2013,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1082,37.33826247689464,0.0247284391231757,1.060940319086186,-0.038897677079918,0.9121395082376414,-0.0707107351814649,0.8467706196498473,3.857192660936085,3.2036470233585987,0.0570363283742874,0.8502586635015811,0.1449999999999818,-42.08728660047129,-76.50901546634503
2014,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1049,34.50905624404194,-0.0603163145370707,0.8614111761756329,-0.1542459108561362,0.6870901807960043,-0.201210709015669,0.6149943029448782,2.5956729668909877,2.1900000000000546,0.0847564399699816,0.5954979392960065,0.0584999999998672,-161.80396048808694,-211.07003375743685
2015,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1045,36.45933014354067,-0.0460731461481281,0.8930436220866637,-0.1326620240946858,0.7252035747605133,-0.1759564630679645,0.6546921037911972,2.799000000000205,2.3359999999997854,0.078599499821359,0.6570760155386539,0.0144999999999981,-138.63181517894665,-183.874503906023
2016,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1232,39.12337662337662,-0.0160283633671826,0.9623203720357826,-0.0990007903217006,0.7910427571196502,-0.1404870037989596,0.7182763355285096,2.888401820688462,2.427279361363162,0.0761666911645894,0.5700000000001637,0.0399999999999636,-121.96897367633524,-173.07998868031834
2017,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1205,37.84232365145228,-0.0749346032847017,0.8309141482264292,-0.1846015602015805,0.6385235112404304,-0.23943503866002,0.5614780968627717,2.1809354626531414,1.8919999999998252,0.1008741449562962,0.6001383717150224,0.086999999999989,-222.4448800429046,-288.5192215853241
2018,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1305,39.310344827586206,-0.0828110497305597,0.8154485051254659,-0.1984507122122127,0.6192115091535473,-0.2562705434530392,0.5411875669948121,2.041000000000168,1.734000000000151,0.1077902988730925,0.4845000000000254,0.0804999999998017,-258.9781794369376,-334.4330592062162
2019,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1177,33.81478334749362,-0.1227483416464846,0.7351547914425977,-0.2225156812572659,0.5785263636986281,-0.2723993510626565,0.5148076928274835,2.482360159735417,2.1344999999996617,0.0886253346989942,0.6324999999999363,0.024499999999989,-261.900956839802,-320.6140362007468
2020,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1102,43.103448275862064,-0.0456826246011112,0.8968667260499965,-0.0962315318582654,0.7968053409701661,-0.1215059854868425,0.7516281694077225,5.15206300348105,4.10125000000005,0.042701410454375,0.7954674698975464,0.181999999999789,-106.04714810780854,-133.8995960065005
2021,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1222,39.770867430441896,-0.0383230871326517,0.9103733010437832,-0.0963698828876208,0.7913133007113783,-0.1253932807651054,0.7384004615561205,4.173749999999927,3.453000000000202,0.0527103970608821,1.1568500396101806,0.2049999999999272,-117.7639968886727,-153.23058909495882
2022,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1159,44.17601380500432,-0.0294712291697813,0.9334830837581336,-0.0852632201146899,0.82087897131019,-0.1131592155871442,0.770324229613313,4.337364480438439,3.460119182651852,0.0507220458396342,1.2611170604367734,0.1229999999998199,-98.82007211292569,-131.1515308655002
2023,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1164,43.6426116838488,0.0004109887403715,1.0009507469219396,-0.0600178038864001,0.8715122318726428,-0.0902322001997859,0.8139037045255052,4.169749999999908,3.2659593166843024,0.0527609570815598,1.0330102113551587,0.1711703964922435,-69.86072372376975,-105.03028103255085
2024,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1269,45.8628841607565,-0.0152726145934724,0.9622964989958038,-0.0595821335343524,0.8618238146333619,-0.0817368930047925,0.8161261391142968,5.485000000000127,4.230000000000018,0.0401093892433901,1.0044721013307722,0.0750000000002728,-75.60972745509332,-103.7241172230817
2025,DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,1.0,2.0,1285,45.83657587548638,0.0289776057899337,1.0695916185921046,0.001588482082649,1.0036803541993595,-0.0121060797709932,0.9724431226801532,9.22751113390914,7.171999999998661,0.0238417485286521,2.280000000000655,0.1300000000005639,2.041199476204067,-15.556312505726323
