year,sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R
2021,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,8,25.0,75.0,0.0,37.5,-0.3764939611818322,0.4990060058636582,-0.5912714057046651,0.3620814086530208,-0.6986601279660816,0.3113710995710838,0.9635593015867698,6.0,0.22855003088517
2022,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,13,38.46153846153847,61.53846153846154,0.0,46.15384615384615,-0.038461538461529,0.9375000000000152,-0.2299264911089526,0.687158341132204,-0.3256589674326645,0.590236985684156,1.0834999999997308,8.0,0.2030456852792382
2023,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,12,50.0,50.0,0.0,16.666666666666664,0.249999999999993,1.499999999999986,-0.0016304695356966,0.9974568857186598,-0.1274457043035415,0.8209269116611724,0.8062499999999773,8.5,0.2728713916171826
2024,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,18,27.77777777777778,66.66666666666666,5.555555555555555,33.33333333333333,-0.2020138008731074,0.6969792986903389,-0.4102030984436224,0.5000330339506259,-0.51429774722888,0.4268751546706952,1.0162500000003547,7.5,0.2164851125634685
2025,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,1.5,12,16.666666666666664,83.33333333333334,0.0,16.666666666666664,-0.5833333333333334,0.3,-0.6875940214376116,0.2534798169657907,-0.7397243654897508,0.2333919594557366,1.9440977076433228,5.0,0.1132972095478342
2011,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,14,21.428571428571427,78.57142857142857,0.0,7.142857142857142,-0.4016187828997655,0.516232813456027,-0.5972198193649145,0.3957435501196737,-0.6950203375974892,0.3488888013208133,1.1269999999999527,6.5,0.1953206239168196
2012,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,11,18.181818181818183,81.81818181818183,0.0,9.090909090909092,-0.4545454545454545,0.4444444444444444,-0.6621287086176623,0.3350570272864608,-0.765920335653766,0.2937966323800757,1.0305000000000746,7.0,0.2134885977680583
2013,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,11,27.27272727272727,72.72727272727273,0.0,9.090909090909092,-0.1818181818181818,0.75,-0.3680287566363244,0.5741839613272971,-0.4611340440453956,0.5056449957279755,1.2025000000001,7.0,0.1829521829521677
2014,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,15,26.666666666666668,66.66666666666666,6.666666666666667,13.333333333333334,-0.1500353857041786,0.7804473902236915,-0.4126674903987501,0.5235297479942735,-0.5439835427460357,0.4318442438725353,0.8414999999993142,8.0,0.2614379084969451
2015,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,7,14.285714285714285,85.71428571428571,0.0,14.285714285714285,-0.5714285714285714,0.3333333333333333,-0.857313583893722,0.2217122069665233,-1.0002560901262971,0.1826207346491771,0.7575000000001637,5.0,0.2904290429042276
2016,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,16,25.0,75.0,0.0,25.0,-0.25,0.6666666666666666,-0.5200602854247948,0.4586113093131883,-0.6550904281371921,0.3854146766965429,0.789000000000101,7.0,0.2799582594782749
2017,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,2.0,18,11.11111111111111,77.77777777777779,11.11111111111111,27.77777777777778,-0.4965368806787661,0.3615954391273006,-0.8145473242781585,0.208480031357818,-0.9735525460778548,0.1611447916975747,0.7222500000000309,7.5,0.3065636395207328
