sample,entry_model,vol_floor_k,target_r,trades,widened_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_structural_risk_price,median_commission_R
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,0.75,2.0,27,88.88888888888889,-0.12901717369429083,0.81813299187781,-0.17711821507248574,0.7621231141963644,-0.2011687357615832,0.7360568935467148,4.497138365518689,2.2280000000000655,0.04891999803404442
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,0.75,2.5,27,88.88888888888889,-0.23307642407578544,0.6877496968421654,-0.2811774654539803,0.6414284341385804,-0.30522798614307783,0.6198996349380621,4.497138365518689,2.2280000000000655,0.04891999803404442
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,0.75,3.0,27,88.88888888888889,-0.17752086852023047,0.7621769544814169,-0.2256219098984254,0.7122756569616937,-0.24967243058752284,0.6890829598838507,4.497138365518689,2.2280000000000655,0.04891999803404442
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,1.0,0.5,27,92.5925925925926,-0.2777777777777758,0.46428571428571136,-0.3156337864363979,0.4140460793215632,-0.33456179076570886,0.39030974419227915,5.812182713313391,2.2280000000000655,0.03785152856534737
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,1.0,1.0,27,92.5925925925926,-0.2006926422601105,0.6613311661860597,-0.2385486509187325,0.6120632697085666,-0.2574766552480436,0.5887468638049267,5.812182713313391,2.2280000000000655,0.03785152856534737
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,1.0,1.5,27,92.5925925925926,-0.11725441288178456,0.8137724030701051,-0.15511042154040655,0.763302978038022,-0.17403842586971757,0.7395232226928588,5.812182713313391,2.2280000000000655,0.03785152856534737
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,1.0,2.0,27,92.5925925925926,-0.1721507025197575,0.7417739462203606,-0.21000671117837955,0.6975086091073646,-0.22893471550769054,0.6766695824282838,5.812182713313391,2.2280000000000655,0.03785152856534737
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,1.0,2.5,27,92.5925925925926,-0.12230238642661408,0.8165464203600766,-0.16015839508523608,0.7693095833908143,-0.17908639941454713,0.7470716480210905,5.812182713313391,2.2280000000000655,0.03785152856534737
DOZ_OBJECTIVE_ONLY,PASSIVE_TOUCH,1.0,3.0,27,92.5925925925926,-0.21489497901920662,0.6946229245516499,-0.25275098767782855,0.6550760678650389,-0.2716789920071396,0.6364563851946494,5.812182713313391,2.2280000000000655,0.03785152856534737
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.25,0.5,35,8.571428571428571,-0.1428571428571375,0.6666666666666805,-0.20199574946394247,0.5555975293770239,-0.23156505276734488,0.5046888665043454,3.6100000000001273,3.5650000000005093,0.060941828254845495
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.25,1.0,35,8.571428571428571,-0.0857142857142888,0.8421052631578895,-0.14485289232109377,0.7489745224215559,-0.1744221956244963,0.7064282941951007,3.6100000000001273,3.5650000000005093,0.060941828254845495
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.25,1.5,35,8.571428571428571,-9.89684524808711e-15,0.9999999999999835,-0.059138606606814886,0.9069566787247969,-0.08870790991021735,0.8642373500922446,3.6100000000001273,3.5650000000005093,0.060941828254845495
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.25,2.0,35,8.571428571428571,-0.14681136296848046,0.788539041617655,-0.20594996957528547,0.7201904697575635,-0.23551927287868785,0.6888446410150629,3.6100000000001273,3.5650000000005093,0.060941828254845495
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.25,2.5,35,8.571428571428571,-0.018239934397042454,0.9737279599450502,-0.07737854100384742,0.8948712968796192,-0.10694784430724985,0.8587062770645181,3.6100000000001273,3.5650000000005093,0.060941828254845495
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.25,3.0,35,8.571428571428571,0.0817600656029445,1.1177637853107727,0.022621458996139505,1.0307341624189683,-0.006947844307262934,0.9908208828807342,3.6100000000001273,3.5650000000005093,0.060941828254845495
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.5,0.5,35,45.714285714285715,-0.14285714285714377,0.6666666666666653,-0.1923938020429552,0.5726087191708481,-0.21716213163586093,0.5288833956364001,4.987520713993515,3.5650000000005093,0.044110092491996024
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,0.5,1.0,35,45.714285714285715,-0.14285714285714665,0.7499999999999941,-0.1923938020429581,0.6800094798014784,-0.21716213163586381,0.647554688673138,4.987520713993515,3.5650000000005093,0.044110092491996024
