dt,date,contract,segment,open,high,low,close,volume
2021-06-14 04:45:00,2021-06-14,MNQ 09-21,9,14014.75,14020.0,14013.25,14019.0,978.0
2021-06-14 05:00:00,2021-06-14,MNQ 09-21,9,14019.5,14024.75,14017.25,14018.75,1283.0
2021-06-14 05:15:00,2021-06-14,MNQ 09-21,9,14019.0,14022.25,14014.25,14020.5,926.0
2021-06-14 05:30:00,2021-06-14,MNQ 09-21,9,14020.0,14022.75,14015.25,14022.25,740.0
2021-06-14 05:45:00,2021-06-14,MNQ 09-21,9,14022.5,14023.5,14019.0,14022.25,721.0
2021-06-14 06:00:00,2021-06-14,MNQ 09-21,9,14021.75,14025.75,14017.5,14019.5,1029.0
2021-06-14 06:15:00,2021-06-14,MNQ 09-21,9,14019.5,14022.0,14016.5,14021.5,720.0
2021-06-14 06:30:00,2021-06-14,MNQ 09-21,9,14021.5,14034.5,14020.5,14032.0,1997.0
2021-06-14 06:45:00,2021-06-14,MNQ 09-21,9,14031.75,14037.0,14029.75,14034.0,1527.0
2021-06-14 07:00:00,2021-06-14,MNQ 09-21,9,14034.25,14043.5,14030.5,14037.25,2257.0
2021-06-14 07:15:00,2021-06-14,MNQ 09-21,9,14036.75,14037.25,14030.0,14030.25,1611.0
2021-06-14 07:30:00,2021-06-14,MNQ 09-21,9,14031.0,14034.25,14026.0,14033.0,1610.0
2021-06-14 07:45:00,2021-06-14,MNQ 09-21,9,14032.5,14033.0,14022.25,14030.0,1842.0
2021-06-14 08:00:00,2021-06-14,MNQ 09-21,9,14030.0,14032.5,14023.5,14024.0,2112.0
2021-06-14 08:15:00,2021-06-14,MNQ 09-21,9,14024.25,14029.5,14019.25,14020.25,2296.0
2021-06-15 03:00:00,2021-06-15,MNQ 09-21,9,14139.0,14153.75,14134.25,14143.5,3737.0
2021-06-15 03:15:00,2021-06-15,MNQ 09-21,9,14143.75,14148.0,14139.25,14140.5,2071.0
2021-06-15 03:30:00,2021-06-15,MNQ 09-21,9,14140.75,14145.0,14138.5,14143.25,1436.0
2021-06-15 03:45:00,2021-06-15,MNQ 09-21,9,14142.25,14151.5,14140.75,14144.25,1782.0
2021-06-15 04:00:00,2021-06-15,MNQ 09-21,9,14144.0,14144.0,14133.75,14140.25,2848.0
2021-06-15 04:15:00,2021-06-15,MNQ 09-21,9,14140.0,14142.75,14133.5,14138.25,1430.0
2021-06-15 04:30:00,2021-06-15,MNQ 09-21,9,14138.75,14141.0,14135.5,14137.0,1491.0
2021-06-15 04:45:00,2021-06-15,MNQ 09-21,9,14137.0,14140.75,14133.75,14139.5,1792.0
2021-06-15 05:00:00,2021-06-15,MNQ 09-21,9,14139.5,14140.0,14135.0,14137.25,1080.0
2021-06-15 05:15:00,2021-06-15,MNQ 09-21,9,14137.0,14139.0,14133.75,14138.5,887.0
2021-06-15 05:30:00,2021-06-15,MNQ 09-21,9,14139.0,14139.0,14129.0,14136.0,1526.0
2021-06-15 05:45:00,2021-06-15,MNQ 09-21,9,14136.25,14136.25,14127.25,14128.5,1102.0
2021-06-15 06:00:00,2021-06-15,MNQ 09-21,9,14128.75,14131.75,14121.0,14124.5,1837.0
2021-06-15 06:15:00,2021-06-15,MNQ 09-21,9,14124.75,14129.75,14122.75,14128.5,1111.0
2021-06-15 06:30:00,2021-06-15,MNQ 09-21,9,14128.75,14132.25,14122.75,14130.0,1810.0
2021-06-15 06:45:00,2021-06-15,MNQ 09-21,9,14130.0,14137.5,14129.75,14136.75,1617.0
2021-06-15 07:00:00,2021-06-15,MNQ 09-21,9,14136.25,14140.5,14132.25,14133.5,1832.0
2021-06-15 07:15:00,2021-06-15,MNQ 09-21,9,14133.5,14141.75,14133.0,14135.0,1636.0
2021-06-15 07:30:00,2021-06-15,MNQ 09-21,9,14135.0,14139.5,14132.5,14138.0,1748.0
2021-06-15 07:45:00,2021-06-15,MNQ 09-21,9,14138.25,14145.75,14135.75,14141.0,2075.0
2021-06-15 08:00:00,2021-06-15,MNQ 09-21,9,14141.0,14143.0,14132.25,14139.75,3425.0
