landmark_i,side,eidx,pidx,iou,center_err_vseg,lo_err_vseg,hi_err_vseg,score_exact,score_proxy,score_abs_err
160987,1,70786,65834,0.9991875305569478,0.018518518518923985,0.0009351908779031088,0.0002887249045805549,0.6454965732990832,0.6403859015000204,0.0051106717990627715
160987,1,70787,65835,0.9403786321193832,0.055555555555929836,0.03677626186126446,0.07498613380600748,0.2090499815499541,0.2044947814212361,0.004555200128718018
160987,1,70788,65836,0.9982616726657054,0.0,0.007896251127527776,0.009640058482950879,0.2581836518313001,0.2593068657044003,0.001123213873100215
160987,1,70789,65837,0.9758704884029754,0.055555555555929836,0.0022684202214671616,0.06112474662519506,0.01750212236836879,0.017119247897379782,0.00038287447098900654
161002,-1,70790,65838,0.9954268048139205,0.018518518518923985,0.00018538250211957383,0.010836026125684727,0.20595131222540047,0.20496456192602594,0.0009867502993745336
161002,-1,70791,65839,0.9926943346403619,0.0,0.004323058250419498,0.0066904791790678006,0.3406642050446228,0.34755757716367297,0.006893372119050167
161002,-1,70792,65840,0.9916007697590984,0.018518518518923985,0.01667680060951215,0.015279763761101213,0.8412282493648044,0.8436900520284627,0.0024618026636582524
161002,1,70793,65841,0.9991875305569478,0.018518518518923985,0.0009351908779031088,0.0002887249045805549,0.7320336483192852,0.7277739096164082,0.004259738702876992
161002,1,70794,65842,0.9403786321193832,0.055555555555929836,0.03677626186126446,0.07498613380600748,0.3436731947179966,0.33860983980434856,0.005063354913648066
161002,1,70795,65843,0.9982616726657054,0.0,0.007896251127527776,0.009640058482950879,0.37385434962263986,0.37538496013379924,0.0015306105111593804
161002,1,70796,65844,0.9758704884029754,0.055555555555929836,0.0022684202214671616,0.06112474662519506,0.04819299095252877,0.04714699346070249,0.001045997491826281
161017,-1,70797,65845,0.9954268048139205,0.018518518518923985,0.00018538250211957383,0.010836026125684727,0.21307450697305955,0.21206001322579932,0.0010144937472602311
161017,-1,70798,65846,0.9926943346403619,0.0,0.004323058250419498,0.0066904791790678006,0.34854284293456045,0.35522127798320513,0.006678435048644682
161017,-1,70799,65847,0.9818408886540352,0.018518518518923985,0.04119305759323694,0.012324394613104523,0.8157061017907046,0.8201524027271268,0.004446300936422176
161017,1,70800,65848,0.9988718032345981,0.018518518518923985,0.0014115587831570109,0.0002887249045805549,0.7262511150150102,0.7219203057972307,0.004330809217779508
161017,1,70801,65849,0.9403786321193832,0.055555555555929836,0.03677626186126446,0.07498613380600748,0.3418336380571918,0.33672172664241373,0.00511191141477807
161017,1,70802,65850,0.9982616726657054,0.0,0.007896251127527776,0.009640058482950879,0.3697647813828682,0.3713049074906861,0.0015401261078178963
161017,1,70803,65851,0.9758704884029754,0.055555555555929836,0.0022684202214671616,0.06112474662519506,0.04935126825572558,0.04827312254052993,0.0010781457151956553
161032,-1,70804,65852,0.9954268048139205,0.018518518518923985,0.00018538250211957383,0.010836026125684727,0.17202908898097902,0.1711568620738227,0.000872226907156326
161032,-1,70805,65853,0.9926943346403619,0.0,0.004323058250419498,0.0066904791790678006,0.28340540987113144,0.28917838836968635,0.005772978498554904
161032,-1,70806,65854,0.982306293857809,0.018518518518923985,0.033773943627476696,0.01372232791675801,0.7337133620177989,0.7384395749565802,0.004726212938781282
161032,1,70807,65855,0.9956127021172206,0.037037037037005845,0.0037245625578552943,0.0034079764519550403,0.8418284981704482,0.8393359994230327,0.002492498747415528
161032,1,70808,65856,0.9403786321193832,0.055555555555929836,0.03677626186126446,0.07498613380600748,0.4771550457176073,0.47190157580972775,0.00525346990787956
161032,1,70809,65857,0.9982616726657054,0.0,0.007896251127527776,0.009640058482950879,0.493560423212368,0.495276729883381,0.0017163066710130237
161032,1,70810,65858,0.9852799877538841,0.01851851851808186,0.009136483299699355,0.01939983285915968,0.0929582318611454,0.09450757614496412,0.0015493442838187266
161032,1,70811,65859,0.9331382497085344,0.018518518518923985,0.06937918010913627,0.005901574515384972,0.10413657631431757,0.10557215977916515,0.0014355834648475813
