scenario,target_r,left_out_year,N,mean_net_R,sum_net_R,pf_net
S18_C9_STRESS,0.5,2021,469,-0.146639884328709,-68.77410575016452,0.6355088536179601
S18_C9_STRESS,0.5,2022,478,-0.16295725516738477,-77.89356797000993,0.6071766517759352
S18_C9_STRESS,0.5,2023,461,-0.14077032667198527,-64.89512059578522,0.6464181995256757
S18_C9_STRESS,0.5,2024,480,-0.14876929223251784,-71.40926027160856,0.6318371118945613
S18_C9_STRESS,0.5,2025,482,-0.14470250825964676,-69.74660898114973,0.6397937152369362
S11_C6_PRIMARY,1.0,2011,464,-0.08277887096504052,-38.409396127778805,0.8347458988575039
S11_C6_PRIMARY,1.0,2012,470,-0.11656168597421104,-54.78399240787919,0.774402757149494
S11_C6_PRIMARY,1.0,2013,473,-0.08619279872291487,-40.76919379593873,0.8282876756665083
S11_C6_PRIMARY,1.0,2014,476,-0.09671801580620676,-46.03777552375442,0.8100590144215734
S11_C6_PRIMARY,1.0,2015,457,-0.10316060443194719,-47.144396225399866,0.8001110526188283
S11_C6_PRIMARY,1.0,2016,449,-0.08899280395092482,-39.957768973965244,0.8238306951059146
S11_C6_PRIMARY,1.0,2017,455,-0.08914452803493217,-40.56076025589414,0.8239750154432255
S11_C6_PRIMARY,1.0,2018,441,-0.09236908853050944,-40.734768041954666,0.8174446322184322
S11_C6_PRIMARY,1.0,2019,446,-0.09599725166670982,-42.81477424335258,0.8120933451816889
S11_C6_PRIMARY,1.0,2020,471,-0.09786788451046789,-46.09577360443038,0.8088292491634697
S11_C6_PRIMARY,1.0,2021,469,-0.09717191212025864,-45.5736267844013,0.8083988415310221
S11_C6_PRIMARY,1.0,2022,478,-0.11622960434773455,-55.557750878217114,0.7762679808122014
S11_C6_PRIMARY,1.0,2023,461,-0.09037921899770039,-41.66481995793988,0.8208384060843592
S11_C6_PRIMARY,1.0,2024,480,-0.0915899484505868,-43.96317525628166,0.8187521629009169
S11_C6_PRIMARY,1.0,2025,482,-0.09589097872816628,-46.21945174697615,0.8111678401247872
S18_C9_STRESS,1.0,2011,464,-0.10442624301803632,-48.453776760368854,0.7936886967824608
S18_C9_STRESS,1.0,2012,470,-0.14678037940423957,-68.9867783199926,0.7213679276842715
S18_C9_STRESS,1.0,2013,473,-0.11636688430855663,-55.04153627794729,0.7726645474616993
S18_C9_STRESS,1.0,2014,476,-0.12631395666865525,-60.1254433742799,0.7567237369915285
S18_C9_STRESS,1.0,2015,457,-0.13319133892086457,-60.868441886835114,0.7468098309930101
S18_C9_STRESS,1.0,2016,449,-0.12639950716248555,-56.75337871595601,0.7568777341333437
S18_C9_STRESS,1.0,2017,455,-0.11704653360254576,-53.25617278915832,0.7731060885247355
S18_C9_STRESS,1.0,2018,441,-0.12108254259535621,-53.39740128455209,0.765450427079848
S18_C9_STRESS,1.0,2019,446,-0.12340851409197004,-55.040197285018635,0.7631026900980409
S18_C9_STRESS,1.0,2020,471,-0.12365583589526588,-58.24189870667023,0.7620231818288136
