scenario,target_r,year,N,mean_net_R,sum_net_R,pf_net,abs_annual_contribution_share
S18_C9_STRESS,0.5,2016,49,-0.15674296248571026,-7.680405161799803,0.6183424675968481,0.09222262902037466
S18_C9_STRESS,0.5,2017,43,-0.15460742431872207,-6.6481192457050495,0.6046897908394602,0.07982743383503951
S18_C9_STRESS,0.5,2018,57,-0.22321259298994411,-12.723117800426815,0.5128299403833224,0.1527731087322385
S18_C9_STRESS,0.5,2019,52,-0.15324925354480315,-7.968961184329763,0.6052352307582196,0.09568747162395669
S18_C9_STRESS,0.5,2020,27,-0.0021739303837776955,-0.05869612036199778,0.9926848124524049,0.0007047949188934803
S18_C9_STRESS,0.5,2021,29,-0.16479278792296279,-4.778990849765921,0.6192408952837534,0.05738383469947669
S18_C9_STRESS,0.5,2022,20,0.21702356850397378,4.3404713700794755,2.473903352116921,0.05211830268113018
S18_C9_STRESS,0.5,2023,37,-0.2339993514633845,-8.657976004145226,0.5108517132265287,0.10396083178904612
S18_C9_STRESS,0.5,2024,18,-0.11910201824010505,-2.143836328321891,0.7053318643099178,0.02574216050093131
S18_C9_STRESS,0.5,2025,16,-0.2379054761737951,-3.8064876187807215,0.49959725582899966,0.04570648138244847
S11_C6_PRIMARY,1.0,2011,34,-0.27847873536819506,-9.468277002518633,0.5466111503741788,0.12288409595544318
S11_C6_PRIMARY,1.0,2012,28,0.24665425991363432,6.906319277581761,1.6596410053206387,0.08963371060854367
S11_C6_PRIMARY,1.0,2013,25,-0.2843391733743481,-7.1084793343587025,0.552428351580862,0.0922574462479559
S11_C6_PRIMARY,1.0,2014,22,-0.08363170938831917,-1.8398976065430217,0.831669416268922,0.02387912330516738
S11_C6_PRIMARY,1.0,2015,41,-0.017884802558477353,-0.7332769048975715,0.9579944978571359,0.009516839179860716
S11_C6_PRIMARY,1.0,2016,49,-0.16163069706800404,-7.919904156332198,0.7010797074936796,0.10278852868856209
S11_C6_PRIMARY,1.0,2017,43,-0.17016076452100684,-7.316912874403294,0.6802534097436741,0.09496260233161918
S11_C6_PRIMARY,1.0,2018,57,-0.12531412435689085,-7.142905088342779,0.7632692300468994,0.09270424112465758
S11_C6_PRIMARY,1.0,2019,52,-0.09736344013355505,-5.062898886944863,0.8011300131855721,0.06570886682661932
S11_C6_PRIMARY,1.0,2020,27,-0.06599627873581697,-1.781899525867058,0.8537755855499422,0.023126394829952632
S11_C6_PRIMARY,1.0,2021,29,-0.07944987399641851,-2.3040463458961367,0.850898670849503,0.02990308080124549
S11_C6_PRIMARY,1.0,2022,20,0.38400388739598357,7.680077747919671,2.540057932653673,0.09967594005430745
S11_C6_PRIMARY,1.0,2023,37,-0.16791495060425832,-6.2128531723575575,0.700660576978248,0.08063355615662486
S11_C6_PRIMARY,1.0,2024,18,-0.2174721041119875,-3.914497874015775,0.6359041648330532,0.05080433665385747
S11_C6_PRIMARY,1.0,2025,16,-0.10363883645758012,-1.658221383321282,0.8059402977117391,0.02152123723558321
S18_C9_STRESS,1.0,2011,34,-0.4120427656370587,-14.009454031659997,0.4000834082684675,0.15503173159311426
S18_C9_STRESS,1.0,2012,28,0.2329838402844197,6.523547527963752,1.6143286210100332,0.07219102665276125
S18_C9_STRESS,1.0,2013,25,-0.2968677805632623,-7.421694514081557,0.5388531826606202,0.08213012079363988
S18_C9_STRESS,1.0,2014,22,-0.10626306444313428,-2.337787417748954,0.7886479177024249,0.02587047508426498
S18_C9_STRESS,1.0,2015,41,-0.038897290370579075,-1.594788905193742,0.9104247863784489,0.017648288430007913
S18_C9_STRESS,1.0,2016,49,-0.11652759338924164,-5.70985207607284,0.76952600251793,0.06318649195704748
S18_C9_STRESS,1.0,2017,43,-0.21411762797373315,-9.207058002870525,0.6080693064261096,0.10188734991652812
S18_C9_STRESS,1.0,2018,57,-0.15904964048204837,-9.065829507476757,0.703251913449462,0.10032448400171762
S18_C9_STRESS,1.0,2019,52,-0.14275064436558108,-7.423033507010216,0.7130878016417063,0.08214493838694877
S18_C9_STRESS,1.0,2020,27,-0.15634563279106015,-4.221332085358624,0.6866642939739757,0.04671419895049072
S18_C9_STRESS,1.0,2021,29,-0.16479278792296145,-4.778990849765882,0.7137463730771028,0.05288537476424867
S18_C9_STRESS,1.0,2022,20,0.3713687253934591,7.427374507869182,2.475426507435012,0.08219297686714164
S18_C9_STRESS,1.0,2023,37,-0.12758591881674772,-4.720678996219665,0.7624797979193212,0.05224008283443867
S18_C9_STRESS,1.0,2024,18,-0.22873140642345646,-4.117165315622216,0.6214517252279133,0.04556146632792021
S18_C9_STRESS,1.0,2025,16,-0.11290547617380033,-1.8064876187808052,0.790882990393225,0.019990993439729706
S11_C6_PRIMARY,1.5,2011,34,-0.32938036643139196,-11.198932458667327,0.5292285318424959,0.13548913892899334
S11_C6_PRIMARY,1.5,2012,28,0.5680828313422047,15.906319277581733,2.519255049976345,0.19244097688804684
S11_C6_PRIMARY,1.5,2013,25,-0.2721189205743234,-6.802973014358085,0.5976694739364085,0.082305073208937
S11_C6_PRIMARY,1.5,2014,22,0.041669074760889574,0.9167196447395707,1.0838698590443274,0.011090838860174496
S11_C6_PRIMARY,1.5,2015,41,-0.013195266802742543,-0.5410059389124443,0.9724960288042614,0.006545305018067886
S11_C6_PRIMARY,1.5,2016,49,-0.07522070893879577,-3.685814738000993,0.8661100011336073,0.044592452624093656
S11_C6_PRIMARY,1.5,2017,43,-0.1889701436195687,-8.125716175641454,0.6902201862990863,0.0983081460560988
S11_C6_PRIMARY,1.5,2018,57,-0.037960759124977234,-2.1637632701237024,0.9306821697445208,0.02617806861477669
S11_C6_PRIMARY,1.5,2019,52,-0.09788480936290912,-5.090010086871274,0.8150020347075608,0.0615809664318796
S11_C6_PRIMARY,1.5,2020,27,-0.0390960598021245,-1.0555936146573615,0.9203404880542078,0.01277099138125252
S11_C6_PRIMARY,1.5,2021,29,-0.05535629377688303,-1.605332519529608,0.9083179762460508,0.019421951294780925
S11_C6_PRIMARY,1.5,2022,20,0.3888910082468666,7.777820164937332,2.103861889550276,0.0940991617532555
S11_C6_PRIMARY,1.5,2023,37,-0.18142846411776248,-6.712853172357212,0.7183556637522039,0.08121476751790971
S11_C6_PRIMARY,1.5,2024,18,-0.5785832152230986,-10.414497874015776,0.2977833608956844,0.12599873733823236
S11_C6_PRIMARY,1.5,2025,16,-0.04113883645757871,-0.6582213833212593,0.9312292525137305,0.007963424083500627
S18_C9_STRESS,1.5,2011,34,-0.419278893235368,-14.255482370002511,0.4348287566808014,0.14538662843051434
S18_C9_STRESS,1.5,2012,28,0.5544124117129909,15.523547527963746,2.461867106073557,0.15831917698700063
S18_C9_STRESS,1.5,2013,25,-0.3889556289738641,-9.723890724346603,0.46615197398956076,0.09917052618397336
S18_C9_STRESS,1.5,2014,22,0.017956388095915588,0.39504053811014295,1.0357143851864548,0.004028878885927149
S18_C9_STRESS,1.5,2015,41,-0.10776014873006612,-4.418166097932711,0.7917593606406723,0.045059315156960586
S18_C9_STRESS,1.5,2016,49,0.033840466916872786,1.6581828789267665,1.0669313375497163,0.016911221369517497
S18_C9_STRESS,1.5,2017,43,-0.1697892428356825,-7.300937441934347,0.7043659966576926,0.07445968165191955
S18_C9_STRESS,1.5,2018,57,-0.06943526804618552,-3.957810278632575,0.8747316396284811,0.04036430879314562
