scenario,target_r,transition,from_session,to_session,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,0.5,objective_activation_to_contact,NY_PM,NY_AM,30,0.11294406941326134,3.38832208239784,1.4675439941986899,76.66666666666667,8,13
S10_C6,0.5,objective_activation_to_contact,NY_PM,NY_PM,21,-0.03239294177138831,-0.6802517771991545,0.9064086891738552,66.66666666666666,6,13
S10_C6,0.5,objective_activation_to_contact,NY_PM,TRANSITION,1,0.4370739381226808,0.4370739381226808,inf,100.0,1,1
S10_C6,0.5,objective_activation_to_contact,TRANSITION,ASIA_CME,24,-0.001527715502385137,-0.03666517205724329,0.9948359523009156,62.5,6,10
S10_C6,0.5,objective_activation_to_contact,TRANSITION,LONDON,8,0.08390292644224627,0.6712234115379702,1.3199692328974437,75.0,4,6
S10_C6,0.5,objective_activation_to_contact,TRANSITION,NY_AM,15,0.1627998109835275,2.4419971647529124,1.7949445346164894,80.0,8,10
S10_C6,0.5,objective_activation_to_contact,TRANSITION,NY_PM,1,-1.0334509962475886,-1.0334509962475886,0.0,0.0,0,1
S10_C6,0.5,objective_activation_to_contact,TRANSITION,TRANSITION,6,-0.3308132404201551,-1.9848794425209306,0.2706325381770886,16.666666666666664,2,4
S10_C6,0.5,objective_activation_to_entry,ASIA_CME,ASIA_CME,24,0.14952263761082374,3.5885433026597697,1.6993027678384425,79.16666666666666,9,13
S10_C6,0.5,objective_activation_to_entry,ASIA_CME,LONDON,4,0.47198338780564,1.88793355122256,inf,100.0,3,3
S10_C6,0.5,objective_activation_to_entry,ASIA_CME,NY_AM,10,0.16531692629265998,1.6531692629265997,1.789424187027932,80.0,4,6
S10_C6,0.5,objective_activation_to_entry,ASIA_CME,NY_PM,3,-0.85736120283598,-2.57208360850794,0.0,0.0,0,3
S10_C6,0.5,objective_activation_to_entry,LONDON,ASIA_CME,6,0.34466107026325266,2.067966421579516,8.264684223148068,83.33333333333334,4,5
S10_C6,0.5,objective_activation_to_entry,LONDON,LONDON,22,0.17392934031529528,3.826445486936496,1.8991645183570773,81.81818181818183,8,10
S10_C6,0.5,objective_activation_to_entry,LONDON,NY_AM,19,0.0563975084092975,1.0715526597766525,1.2014411179372728,73.68421052631578,6,10
S10_C6,0.5,objective_activation_to_entry,LONDON,NY_PM,3,-0.04230779987759462,-0.12692339963278387,0.8790541545100476,66.66666666666666,2,3
S10_C6,0.5,objective_activation_to_entry,NY_AM,ASIA_CME,4,0.10138256739637103,0.4055302695854841,1.39954232737071,75.0,2,3
S10_C6,0.5,objective_activation_to_entry,NY_AM,LONDON,7,0.24226205272013687,1.695834369040958,2.6350517751685234,85.71428571428571,5,6
S10_C6,0.5,objective_activation_to_entry,NY_AM,NY_AM,42,0.24641287586962252,10.349340786524145,2.6707647954722598,85.71428571428571,10,14
S10_C6,0.5,objective_activation_to_entry,NY_AM,NY_PM,11,0.38315348921529213,4.214688381368213,11.797214276766903,90.9090909090909,6,7
S10_C6,0.5,objective_activation_to_entry,NY_AM,TRANSITION,1,0.4790209790209799,0.4790209790209799,inf,100.0,1,1
S10_C6,0.5,objective_activation_to_entry,NY_PM,ASIA_CME,22,0.1361385965972311,2.9950491251390843,1.6282551590434478,77.27272727272727,6,10
S10_C6,0.5,objective_activation_to_entry,NY_PM,LONDON,20,0.15923388650156187,3.1846777300312374,1.771629116754301,80.0,7,10
S10_C6,0.5,objective_activation_to_entry,NY_PM,NY_AM,30,0.11294406941326134,3.38832208239784,1.4675439941986899,76.66666666666667,8,13
S10_C6,0.5,objective_activation_to_entry,NY_PM,NY_PM,21,-0.03239294177138831,-0.6802517771991545,0.9064086891738552,66.66666666666666,6,13
S10_C6,0.5,objective_activation_to_entry,NY_PM,TRANSITION,1,0.4370739381226808,0.4370739381226808,inf,100.0,1,1
S10_C6,0.5,objective_activation_to_entry,TRANSITION,ASIA_CME,24,-0.001527715502385137,-0.03666517205724329,0.9948359523009156,62.5,6,10
S10_C6,0.5,objective_activation_to_entry,TRANSITION,LONDON,8,0.08390292644224627,0.6712234115379702,1.3199692328974437,75.0,4,6
S10_C6,0.5,objective_activation_to_entry,TRANSITION,NY_AM,15,0.1627998109835275,2.4419971647529124,1.7949445346164894,80.0,8,10
S10_C6,0.5,objective_activation_to_entry,TRANSITION,NY_PM,1,-1.0334509962475886,-1.0334509962475886,0.0,0.0,0,1
S10_C6,0.5,objective_activation_to_entry,TRANSITION,TRANSITION,6,-0.3308132404201551,-1.9848794425209306,0.2706325381770886,16.666666666666664,2,4
S10_C6,1.0,doz_origin_to_contact,ASIA_CME,ASIA_CME,17,0.6320672606478265,10.74514343101305,5.637134845370521,76.47058823529412,9,10
S10_C6,1.0,doz_origin_to_contact,ASIA_CME,LONDON,16,-0.18086323129707685,-2.8938117007532296,0.6937842312522866,43.75,3,9
S10_C6,1.0,doz_origin_to_contact,ASIA_CME,NY_AM,40,0.16125758760251835,6.4503035041007335,1.3863369989193846,60.0,8,15
S10_C6,1.0,doz_origin_to_contact,ASIA_CME,NY_PM,9,0.19837484490205967,1.785373604118537,1.5762572115171622,55.55555555555556,5,8
