scenario,target_r,left_out_year,trades,mean_net_R,sum_net_R,pf_net
S10_C6,1.0,2020,289,0.26611715484463594,76.90785775009978,1.7923696855432716
S10_C6,1.0,2021,286,0.2786412625350103,79.69140108501296,1.851599579271381
S10_C6,1.0,2022,287,0.28819443316763105,82.7118023191101,1.8936762853533502
S10_C6,1.0,2023,287,0.27275619764099224,78.28102872296478,1.8229774597655755
S10_C6,1.0,2024,287,0.2809342505640961,80.62812991189558,1.8617085721778892
S10_C6,1.0,2025,287,0.25926677112901675,74.4095633140278,1.7693426797421248
S10_C6,1.5,2011,288,0.27709146837080934,79.80234289079308,1.637157335309463
S10_C6,1.5,2012,290,0.24656761958685447,71.5046096801878,1.552726938728682
S10_C6,1.5,2013,287,0.27839872349573014,79.90043364327455,1.6399116077762426
S10_C6,1.5,2014,281,0.26064629204097495,73.24160806351397,1.5827110667436062
S10_C6,1.5,2015,277,0.3099193560714553,85.84766163179313,1.7281958291276807
S10_C6,1.5,2016,282,0.2864221337007811,80.77104170362028,1.6621907767415762
S10_C6,1.5,2017,277,0.28835566768818144,79.87451994962626,1.6581605169372777
S10_C6,1.5,2018,268,0.2872146773204708,76.97353352188617,1.6620234478003897
S10_C6,1.5,2019,283,0.3161594850839367,89.47313427875409,1.7539591514324924
S10_C6,1.5,2020,289,0.2852196769900932,82.42848665013693,1.6562560494569607
S10_C6,1.5,2021,286,0.30213423484561375,86.41039116584552,1.7135182982292907
S10_C6,1.5,2022,287,0.3035210198365836,87.11053269309949,1.7192399582908553
S10_C6,1.5,2023,287,0.29082317939186936,83.4662524854665,1.6768258624526458
S10_C6,1.5,2024,287,0.2872287983170331,82.4346651169885,1.6692024572306083
S10_C6,1.5,2025,287,0.27633551807671475,79.30829368801713,1.6380244787293825
S10_C6,2.0,2011,288,0.28340323871759815,81.62013275066826,1.5891681052805864
S10_C6,2.0,2012,290,0.27160733222397837,78.76612634495373,1.5633787804448183
S10_C6,2.0,2013,287,0.2836454676140282,81.40624920522609,1.5882417083728517
S10_C6,2.0,2014,281,0.26739494906556793,75.13798068742459,1.5438263384747382
S10_C6,2.0,2015,277,0.3219726265849007,89.1864175640175,1.684369142538512
S10_C6,2.0,2016,282,0.30277369516719926,85.38218203715019,1.635615810850481
S10_C6,2.0,2017,277,0.2928612539956679,81.12256735680002,1.6020772319181475
S10_C6,2.0,2018,268,0.29188325957421246,78.22471356588893,1.6078067141345536
S10_C6,2.0,2019,283,0.3330548390727677,94.25451945759326,1.7185004085633782
S10_C6,2.0,2020,289,0.31650052200990136,91.46865086086149,1.6622519394493656
S10_C6,2.0,2021,286,0.33407753429333686,95.54617480789435,1.7165865102608866
S10_C6,2.0,2022,287,0.3259058346088566,93.53497453274184,1.701224317157858
S10_C6,2.0,2023,287,0.30652590485910247,87.97293469456241,1.647818534232324
S10_C6,2.0,2024,287,0.287605930828152,82.54290214767963,1.603777087512032
S10_C6,2.0,2025,287,0.27838431909133404,79.89629957921287,1.5796713390059198
S10_C6,2.5,2011,288,0.26143094411640483,75.29211190552459,1.5009238967096608
S10_C6,2.5,2012,290,0.2428414603308443,70.42402349594485,1.4645929794165597
S10_C6,2.5,2013,287,0.2563210674432652,73.56414635621712,1.4899016102653972
S10_C6,2.5,2014,281,0.2384457162258633,67.00324625946759,1.446874975143744
S10_C6,2.5,2015,277,0.31455365610157837,87.1313627401372,1.6177223538630134
S10_C6,2.5,2016,282,0.2873761673338339,81.04007918814116,1.5588807336420007
S10_C6,2.5,2017,277,0.2876893704142183,79.68995560473847,1.547840992786546
S10_C6,2.5,2018,268,0.2912893684984096,78.06555075757377,1.5641179267213838
S10_C6,2.5,2019,283,0.32124528836955674,90.91241660858455,1.6408208479395108
S10_C6,2.5,2020,289,0.29801573706523354,86.12654801185249,1.574600077946735
S10_C6,2.5,2021,286,0.31539885300309545,90.2040719588853,1.621637872398901
S10_C6,2.5,2022,287,0.3160030372255495,90.6928716837327,1.6292345976532332
S10_C6,2.5,2023,287,0.28447852201136076,81.64533581726054,1.5532625894374454
S10_C6,2.5,2024,287,0.28292961428108393,81.20079929867109,1.5545669427715243
S10_C6,2.5,2025,287,0.2866929129610376,82.2808660198178,1.5586869287144505
S10_C6,3.0,2011,288,0.3254001928700603,93.71525554657737,1.6190178651539031
S10_C6,3.0,2012,290,0.2758977157137351,80.01033755698319,1.5136779931188042
S10_C6,3.0,2013,287,0.2787013588755046,79.98728999726983,1.518258550768874
S10_C6,3.0,2014,281,0.25889630004183206,72.74986031175482,1.4720496076559293
S10_C6,3.0,2015,277,0.344962116899602,95.55450638118975,1.6579522670051914
S10_C6,3.0,2016,282,0.3119263220893402,87.96322282919394,1.5896378998084826
S10_C6,3.0,2017,277,0.3364960320535607,93.20940087883632,1.6274513983612466
S10_C6,3.0,2018,268,0.3315165847864401,88.84644472276594,1.6232096896043915
S10_C6,3.0,2019,283,0.35081689947131606,99.28118255038244,1.679792924436534
S10_C6,3.0,2020,289,0.32889166661904934,95.04969165290525,1.616937096628403
S10_C6,3.0,2021,286,0.3504827682814023,100.23807172848106,1.6714560992123408
S10_C6,3.0,2022,287,0.3453519697727721,99.1160153247856,1.668304927045871
S10_C6,3.0,2023,287,0.31410510313438433,90.1481645995683,1.594064150580456
S10_C6,3.0,2024,287,0.3070520659920676,88.12394293972339,1.5851542208017961
S10_C6,3.0,2025,287,0.31429968522951424,90.20400966087058,1.5955909139352829
S11_C6_PRIMARY,0.5,2011,288,0.116462660848437,33.541246324349856,1.5028501884668193
S11_C6_PRIMARY,0.5,2012,290,0.10369813119582658,30.072458046789706,1.4308969976397534
S11_C6_PRIMARY,0.5,2013,287,0.11300582881852966,32.43267287091801,1.481749131174547
S11_C6_PRIMARY,0.5,2014,281,0.10883075005172593,30.581440764534985,1.4552925080529937
S11_C6_PRIMARY,0.5,2015,277,0.13547436815585923,37.52639997917301,1.617659269998893
S11_C6_PRIMARY,0.5,2016,282,0.126222561964984,35.59476247412549,1.5606307766091092
S11_C6_PRIMARY,0.5,2017,277,0.12122638667917034,33.57970911013018,1.5240582080888343
S11_C6_PRIMARY,0.5,2018,268,0.11576403062684781,31.024760207995215,1.4971128856168574
S11_C6_PRIMARY,0.5,2019,283,0.13343606607848948,37.76240670021252,1.604829620907905
S11_C6_PRIMARY,0.5,2020,289,0.11724529695661629,33.883890820462106,1.5051432880041307
S11_C6_PRIMARY,0.5,2021,286,0.12468431681480588,35.65971460903448,1.551712104816552
S11_C6_PRIMARY,0.5,2022,287,0.1312794805957376,37.67721093097669,1.5922224833953156
S11_C6_PRIMARY,0.5,2023,287,0.12975713774575784,37.2402985330325,1.5807982258576505
S11_C6_PRIMARY,0.5,2024,287,0.11009543109754755,31.597388724996147,1.4664098483060948
S11_C6_PRIMARY,0.5,2025,287,0.11979025080409952,34.37980198077656,1.523157323834872
S11_C6_PRIMARY,1.0,2011,288,0.24859410205228233,71.59510139105731,1.7255191146921376
S11_C6_PRIMARY,1.0,2012,290,0.23720965415876358,68.79079970604144,1.6828569353247758
S11_C6_PRIMARY,1.0,2013,287,0.25488158372881514,73.15101453016995,1.7521390495484042
S11_C6_PRIMARY,1.0,2014,281,0.24122471647408356,67.78414532921748,1.6908605592895558
S11_C6_PRIMARY,1.0,2015,277,0.27905895493119737,77.29933051594168,1.8540411514655553
S11_C6_PRIMARY,1.0,2016,282,0.2616778619625583,73.79315707344145,1.781645157866359
S11_C6_PRIMARY,1.0,2017,277,0.26996012449920914,74.77895448628094,1.7972788633969465
S11_C6_PRIMARY,1.0,2018,268,0.2539075521488067,68.0472239758802,1.741066414593048
S11_C6_PRIMARY,1.0,2019,283,0.2672185962693038,75.62286274421297,1.8024583934193699
S11_C6_PRIMARY,1.0,2020,289,0.2494886937014326,72.10223247971402,1.72783523583845
S11_C6_PRIMARY,1.0,2021,286,0.26181138555344835,74.87805626828623,1.7833682512047333
S11_C6_PRIMARY,1.0,2022,287,0.2783817163422598,79.89555259022856,1.8542092634756813
S11_C6_PRIMARY,1.0,2023,287,0.2559534501473328,73.4586401922845,1.7563178203248686
S11_C6_PRIMARY,1.0,2024,287,0.26416630795905255,75.81573038424808,1.793271996533656
S11_C6_PRIMARY,1.0,2025,287,0.24250224264818246,69.59814364002837,1.70498047323523
S11_C6_PRIMARY,1.5,2011,288,0.27035024692204335,77.86087111354848,1.6211936969555574
S11_C6_PRIMARY,1.5,2012,290,0.2398502394087336,69.55656942853274,1.5372800676444303
S11_C6_PRIMARY,1.5,2013,287,0.2716654198446609,77.96797549541768,1.6239675528336979
S11_C6_PRIMARY,1.5,2014,281,0.2538923099582382,71.34373909826493,1.5671675342126032
S11_C6_PRIMARY,1.5,2015,277,0.30396714328892116,84.19889869103116,1.7136014322683422
S11_C6_PRIMARY,1.5,2016,282,0.2795621963690778,78.83653937607994,1.6457909996738682
S11_C6_PRIMARY,1.5,2017,277,0.2870416596258729,79.5105397163668,1.6554727292768388
S11_C6_PRIMARY,1.5,2018,268,0.2800185874429193,75.04498143470238,1.644814209248856
S11_C6_PRIMARY,1.5,2019,283,0.3092081530116494,87.50590730229678,1.7367505991739312
S11_C6_PRIMARY,1.5,2020,289,0.27854444729903205,80.49934526942026,1.640431343255782
S11_C6_PRIMARY,1.5,2021,286,0.29535502180550466,84.47153623637433,1.696966029904268
S11_C6_PRIMARY,1.5,2022,287,0.29672934603735157,85.1613223127199,1.7026008224475622
S11_C6_PRIMARY,1.5,2023,287,0.28401788084555846,81.51313180267528,1.6604861070162102
S11_C6_PRIMARY,1.5,2024,287,0.28047543826467647,80.49645078196215,1.6529732886342166
S11_C6_PRIMARY,1.5,2025,287,0.2695606737370027,77.36391336251978,1.6219176581311245
S11_C6_PRIMARY,2.0,2011,288,0.27146151134498553,78.18091526735583,1.5601653567710951
S11_C6_PRIMARY,2.0,2012,290,0.25973447152815843,75.32299674316594,1.5347810131915278
S11_C6_PRIMARY,2.0,2013,287,0.2717184255156721,77.98318812299789,1.55931240094403
S11_C6_PRIMARY,2.0,2014,281,0.2553865749691235,71.76362756632369,1.515512524959922
S11_C6_PRIMARY,2.0,2015,277,0.3097394088765584,85.79781625880666,1.653110627997652
S11_C6_PRIMARY,2.0,2016,282,0.2906249186031435,81.95622704608647,1.6054183103395658
S11_C6_PRIMARY,2.0,2017,277,0.2806963975535666,77.75290212233796,1.5726628709744668
S11_C6_PRIMARY,2.0,2018,268,0.27939214108331395,74.87709381032813,1.577041642685089
S11_C6_PRIMARY,2.0,2019,283,0.33158744196477596,93.8392460760316,1.7155343747840754
S11_C6_PRIMARY,2.0,2020,289,0.30465394837732335,88.04499108104645,1.6327196301324243
S11_C6_PRIMARY,2.0,2021,286,0.3221060633367171,92.12233411430108,1.6856092281944628
S11_C6_PRIMARY,2.0,2022,287,0.3139122874734769,90.09282650488787,1.6702187325445708
S11_C6_PRIMARY,2.0,2023,287,0.29450477169024275,84.52286947509967,1.6176870319518006
S11_C6_PRIMARY,2.0,2024,287,0.27561796490375373,79.10235592737732,1.5742520201594796
S11_C6_PRIMARY,2.0,2025,287,0.26639373986613485,76.4550033415807,1.5505609582773008
S11_C6_PRIMARY,2.5,2011,288,0.2535294431163247,73.01647961750152,1.4859707153504982
S11_C6_PRIMARY,2.5,2012,290,0.2229029767654228,64.64186326197262,1.4236659881835514
S11_C6_PRIMARY,2.5,2013,287,0.23624409282858672,67.80205464180439,1.4485567945901867
S11_C6_PRIMARY,2.5,2014,281,0.21816177203043616,61.30345794055256,1.4061514633616452
S11_C6_PRIMARY,2.5,2015,277,0.2943832600092255,81.54416302255547,1.5740153257524865
S11_C6_PRIMARY,2.5,2016,282,0.2669329559038757,75.27509356489296,1.5155594955945748
S11_C6_PRIMARY,2.5,2017,277,0.2673368307260727,74.05230211112215,1.5056268168106595
S11_C6_PRIMARY,2.5,2018,268,0.27601741627106724,73.97266756064602,1.5306361631659384
