scenario,target_r,year,trades,mean_net_R,sum_net_R,pf_net,abs_annual_contribution_share
S10_C6,2.5,2022,17,-0.22868410867944716,-3.8876298475506017,0.6912965936039327,0.03526362695000386
S10_C6,2.5,2023,17,0.30352388346597403,5.159906018921559,1.5636294550129006,0.04680409609031356
S10_C6,2.5,2024,17,0.32967309044182425,5.604442537511012,1.5439376103007478,0.050836365254793965
S10_C6,2.5,2025,17,0.26613975390378236,4.5243758163643,1.4787690201937058,0.04103937546173837
S10_C6,3.0,2011,16,0.1883206206660924,3.0131299306574784,1.3168539173476832,0.02651735229680353
S10_C6,3.0,2012,14,1.1941462800179756,16.71804792025166,4.25047180086451,0.14712885823659874
S10_C6,3.0,2013,17,0.9847703223508824,16.741095479965,3.550285590658955,0.1473316905984833
S10_C6,3.0,2014,23,1.0425445724121745,23.978525165480015,4.53242492770102,0.21102541676059025
S10_C6,3.0,2015,27,0.043477003557225315,1.1738790960450836,1.0748989745475699,0.010330840773563468
S10_C6,3.0,2016,22,0.39841648400185947,8.765162648040908,1.7478031060795796,0.07713869339387135
S10_C6,3.0,2017,27,0.13033276290364884,3.5189845983985184,1.284924206783102,0.030969177058487365
S10_C6,3.0,2018,36,0.21894279873524702,7.881940754468893,1.4297607150175826,0.06936581049565908
S10_C6,3.0,2019,21,-0.12156176538798116,-2.5527970731476044,0.8281727980126589,0.02246614679378694
S10_C6,3.0,2020,15,0.11191292162197239,1.678693824329586,1.2455698660591854,0.014773513443710936
S10_C6,3.0,2021,18,-0.19498256951367832,-3.50968625124621,0.6979189090884276,0.03088734602136313
S10_C6,3.0,2022,17,-0.14044881456180877,-2.387629847550749,0.8104064697372798,0.021012576051790507
S10_C6,3.0,2023,17,0.3870718163333256,6.580220877666536,1.7187740035464554,0.05790989410330232
S10_C6,3.0,2024,17,0.5061436786771443,8.604442537511453,1.8351017751540086,0.07572425993425591
S10_C6,3.0,2025,17,0.38378681272730986,6.524375816364268,1.690408830689567,0.0574184240377331
S11_C6_PRIMARY,0.5,2011,16,0.191860328288435,3.06976525261496,1.9940631645873061,0.06955311910263227
S11_C6_PRIMARY,0.5,2012,14,0.46703953786965124,6.538553530175117,inf,0.14814709107017487
S11_C6_PRIMARY,0.5,2013,17,0.2457846297674595,4.178338706046811,2.693266297605686,0.09467059066658358
S11_C6_PRIMARY,0.5,2014,23,0.2621552527143407,6.029570812429836,3.2999699511861085,0.13661482958589274
S11_C6_PRIMARY,0.5,2015,27,-0.03390327415585888,-0.9153884022081897,0.898678980270832,0.020740386747722554
S11_C6_PRIMARY,0.5,2016,22,0.0461931410381513,1.0162491028393286,1.1613144392962524,0.023025635210222002
S11_C6_PRIMARY,0.5,2017,27,0.11227046173461608,3.0313024668346342,1.5304982445999225,0.06868164962524499
S11_C6_PRIMARY,0.5,2018,36,0.15517364913804454,5.586251368969604,1.756896017281686,0.12657033187544525
S11_C6_PRIMARY,0.5,2019,21,-0.05482833920227165,-1.1513951232477047,0.8434664282509693,0.026087702332684655
S11_C6_PRIMARY,0.5,2020,15,0.1818080504335144,2.727120756502716,2.005359586504837,0.06178966115494225
S11_C6_PRIMARY,0.5,2021,18,0.052849831551685336,0.951296967930336,1.184512888276496,0.021553984056620887
S11_C6_PRIMARY,0.5,2022,17,-0.062717609059522,-1.0661993540118742,0.8272056096801941,0.024157381608762074
S11_C6_PRIMARY,0.5,2023,17,-0.03701687976868747,-0.629286956067687,0.8890380562266805,0.014258051350286325
S11_C6_PRIMARY,0.5,2024,17,0.2949189912922747,5.0136228519686705,3.452379689254572,0.1135960175005587
