scenario,target_r,dimension,group,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,1.0,confirmation_session,TRANSITION,8,-0.0885805831546794,-0.7086446652374352,0.7541315062990397,25.0,3,6
S10_C6,1.0,entry_session,ASIA_CME,80,0.3155129933565908,25.241039468527262,2.1007522293828793,60.0,12,15
S10_C6,1.0,entry_session,LONDON,61,0.2635859832756498,16.078744979814637,1.7633737027419232,62.295081967213115,11,15
S10_C6,1.0,entry_session,NY_AM,116,0.30521018927911936,35.40438195637785,1.8956401632489739,67.24137931034483,13,15
S10_C6,1.0,entry_session,NY_PM,39,0.182688603616118,7.124855541028602,1.4952119588455213,56.41025641025641,7,15
S10_C6,1.0,entry_session,TRANSITION,8,-0.0885805831546794,-0.7086446652374352,0.7541315062990397,25.0,3,6
S10_C6,1.0,exit_session,ASIA_CME,80,0.29408828018714245,23.527062414971397,2.0060880351071075,58.75,13,15
S10_C6,1.0,exit_session,LONDON,58,0.3201179454564281,18.566840836472828,2.0233970207947616,65.51724137931035,12,15
S10_C6,1.0,exit_session,NY_AM,115,0.24656902034458508,28.355437339627283,1.6782667443433432,62.60869565217392,12,15
S10_C6,1.0,exit_session,NY_PM,45,0.3126335646489146,14.068510409201158,1.946135221865883,66.66666666666666,8,15
S10_C6,1.0,exit_session,TRANSITION,6,-0.22957895329362524,-1.3774737197617515,0.4682827922117375,16.666666666666664,3,5
S10_C6,1.0,doz_anchor_source_tf,15min,130,0.291311336000087,37.870473680011315,1.9164406449935845,62.30769230769231,12,15
S10_C6,1.0,doz_anchor_source_tf,1h,75,0.17914820855916325,13.436115641937244,1.492232470313991,54.666666666666664,9,13
S10_C6,1.0,doz_anchor_source_tf,30min,99,0.321553413722852,31.83378795856235,1.9894523100446726,66.66666666666666,10,15
S10_C6,1.0,doz_anchor_variant,DOZ_BASE,35,0.11342457095018739,3.9698599832565584,1.281926916201723,51.42857142857142,7,14
S10_C6,1.0,doz_anchor_variant,DOZ_BODY,205,0.3168644296144174,64.95720807095557,2.0038515259272027,65.3658536585366,14,15
S10_C6,1.0,doz_anchor_variant,DOZ_LAST,64,0.22208295666091826,14.213309226298769,1.645950772915091,56.25,10,15
S10_C6,1.0,objective_anchor_variant,ASIA_CME_HIGH,20,0.13028525142210184,2.605705028442037,1.3321756466845858,55.00000000000001,6,11
S10_C6,1.0,objective_anchor_variant,ASIA_CME_LOW,30,0.4194973956220901,12.584921868662702,2.481360924571115,73.33333333333333,10,13
S10_C6,1.0,objective_anchor_variant,LONDON_HIGH,25,0.36729184666349524,9.182296166587381,2.268143243422918,68.0,9,11
S10_C6,1.0,objective_anchor_variant,LONDON_LOW,40,0.3816895253048626,15.267581012194505,2.4076439636115152,67.5,9,15
S10_C6,1.0,objective_anchor_variant,NY_AM_HIGH,52,0.16778745169271386,8.72494748802112,1.429283065067503,55.769230769230774,8,14
S10_C6,1.0,objective_anchor_variant,NY_AM_LOW,42,0.3745982847982627,15.733127961527034,2.2664877700784465,69.04761904761905,10,14
S10_C6,1.0,objective_anchor_variant,NY_PM_HIGH,25,-0.04098540902556516,-1.0246352256391291,0.9125211332980246,44.0,5,11
S10_C6,1.0,objective_anchor_variant,NY_PM_LOW,15,0.4141584442560214,6.21237666384032,2.7238067129656436,66.66666666666666,6,8
S10_C6,1.0,objective_anchor_variant,PDH,17,0.3033613869339453,5.15714357787707,1.9829471009849853,58.82352941176471,6,10
S10_C6,1.0,objective_anchor_variant,PDL,16,-0.10365100861975786,-1.6584161379161257,0.8015386417662276,43.75,3,8
