event_id,source_year,doz_zone_id,objective_zone_id,anchor_zone_id,anchor_family,anchor_variant,partner_zone_id,partner_family,partner_variant,doz_contact_time,objective_contact_time,confluence_time,confirm_time,entry_time,confluence_idx,causal_clean_rejection_trigger_minutes,confirm_idx,entry_idx,direction,anchor_side,doz_side,objective_side,side_relation,anchor_lower,anchor_upper,pair_lower,pair_upper,direct_overlap,doz_origin_time,doz_known_time,doz_source_tf,doz_variant,objective_origin_time,objective_known_time,objective_source_tf,objective_variant,doz_activation_session,objective_activation_session,entry_session,timing_integrity_pass,prefix_invariance_pass
09ecac1e9ae81318d7609267,2011,DOZ_BODY_00006919,TRANSITION_H_00003678,DOZ_BODY_00006919,DISPLACEMENT_ORIGIN,DOZ_BODY,TRANSITION_H_00003678,OBJECTIVE_LIQUIDITY,TRANSITION_HIGH,2011-04-24T22:00:00+00:00,2011-04-24T22:00:00+00:00,2011-04-24T22:00:00+00:00,2011-04-24T22:00:00+00:00,2011-04-24T22:01:00+00:00,689640,0,689640,689641,LONG,SUPPORT,SUPPORT,RESISTANCE,OPPOSITE_SIDE,1509.219,1509.313,1509.219,1509.313,1.0,2011-04-24T21:30:00+00:00,2011-04-24T22:00:00+00:00,30min,DOZ_BODY,2011-04-24T21:55:00+00:00,2011-04-24T22:00:00+00:00,SESSION,TRANSITION_HIGH,ASIA_CME,ASIA_CME,ASIA_CME,True,True
07c1422412b69f35875082fb,2011,DOZ_LAST_00003174,PDH_00000814,DOZ_LAST_00003174,DISPLACEMENT_ORIGIN,DOZ_LAST,PDH_00000814,OBJECTIVE_LIQUIDITY,PDH,2011-04-27T17:25:00+00:00,2011-04-27T17:25:00+00:00,2011-04-27T17:25:00+00:00,2011-04-27T17:25:00+00:00,2011-04-27T17:26:00+00:00,693685,0,693685,693686,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1517.1055,1518.14,1517.3154999999997,1518.14,0.7970033832771707,2011-04-25T11:30:00+00:00,2011-04-25T11:45:00+00:00,15min,DOZ_LAST,2011-04-25T20:59:00+00:00,2011-04-25T21:00:00+00:00,D1,PDH,LONDON,TRANSITION,NY_PM,True,True
9e167dd3cb0868b3e41d17a8,2011,DOZ_LAST_00006963,NY_PM_L_00003727,NY_PM_L_00003727,OBJECTIVE_LIQUIDITY,NY_PM_LOW,DOZ_LAST_00006963,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-05-01T23:04:00+00:00,2011-05-01T23:04:00+00:00,2011-05-01T23:04:00+00:00,2011-05-01T23:05:00+00:00,2011-05-01T23:06:00+00:00,699784,1,699785,699786,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1543.3345,1545.8225000000002,1543.3345,1545.5,0.8703778135047502,2011-04-29T15:00:00+00:00,2011-04-29T16:30:00+00:00,30min,DOZ_LAST,2011-04-29T19:59:00+00:00,2011-04-29T20:00:00+00:00,SESSION,NY_PM_LOW,NY_PM,TRANSITION,ASIA_CME,True,True
7c00b3ebfb917aed4a708b84,2011,DOZ_BODY_00007012,LONDON_L_00003801,LONDON_L_00003801,OBJECTIVE_LIQUIDITY,LONDON_LOW,DOZ_BODY_00007012,DISPLACEMENT_ORIGIN,DOZ_BODY,2011-05-10T12:54:00+00:00,2011-05-10T12:55:00+00:00,2011-05-10T12:55:00+00:00,2011-05-10T12:55:00+00:00,2011-05-10T12:56:00+00:00,712135,0,712135,712136,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1506.6445,1508.5404999999998,1506.6445,1508.5404999999998,1.0,2011-05-10T05:30:00+00:00,2011-05-10T08:00:00+00:00,30min,DOZ_BODY,2011-05-10T11:59:00+00:00,2011-05-10T12:00:00+00:00,SESSION,LONDON_LOW,LONDON,NY_AM,NY_AM,True,True
c5d74eab72ef06f74c6b6573,2011,DOZ_BODY_00003376,NY_AM_L_00003833,NY_AM_L_00003833,OBJECTIVE_LIQUIDITY,NY_AM_LOW,DOZ_BODY_00003376,DISPLACEMENT_ORIGIN,DOZ_BODY,2011-05-13T15:59:00+00:00,2011-05-13T16:00:00+00:00,2011-05-13T16:00:00+00:00,2011-05-13T16:00:00+00:00,2011-05-13T16:01:00+00:00,716640,0,716640,716641,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1492.3700000000003,1494.0899999999997,1493.662,1494.0899999999997,0.8879668049785935,2011-05-12T16:15:00+00:00,2011-05-12T17:15:00+00:00,15min,DOZ_BODY,2011-05-13T15:59:00+00:00,2011-05-13T16:00:00+00:00,SESSION,NY_AM_LOW,NY_PM,NY_PM,NY_PM,True,True
c5ad02c6bbd6e6816192da7a,2011,DOZ_BASE_00007040,NY_AM_H_00003856,NY_AM_H_00003856,OBJECTIVE_LIQUIDITY,NY_AM_HIGH,DOZ_BASE_00007040,DISPLACEMENT_ORIGIN,DOZ_BASE,2011-05-18T02:23:00+00:00,2011-05-18T02:23:00+00:00,2011-05-18T02:23:00+00:00,2011-05-18T02:24:00+00:00,2011-05-18T02:25:00+00:00,723023,1,723024,723025,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1492.502,1493.9739999999997,1492.6075,1493.9739999999997,0.9283288043477324,2011-05-17T11:00:00+00:00,2011-05-17T13:00:00+00:00,30min,DOZ_BASE,2011-05-17T15:59:00+00:00,2011-05-17T16:00:00+00:00,SESSION,NY_AM_HIGH,NY_AM,NY_PM,ASIA_CME,True,True
74234dea50f116570dbc7d25,2011,DOZ_BODY_00007075,NY_AM_L_00003997,DOZ_BODY_00007075,DISPLACEMENT_ORIGIN,DOZ_BODY,NY_AM_L_00003997,OBJECTIVE_LIQUIDITY,NY_AM_LOW,2011-06-10T13:14:00+00:00,2011-06-10T13:14:00+00:00,2011-06-10T13:14:00+00:00,2011-06-10T13:14:00+00:00,2011-06-10T13:15:00+00:00,756794,0,756794,756795,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1525.35,1526.576,1525.35,1526.286,0.7634584013051086,2011-06-03T11:00:00+00:00,2011-06-03T13:30:00+00:00,30min,DOZ_BODY,2011-06-03T15:59:00+00:00,2011-06-03T16:00:00+00:00,SESSION,NY_AM_LOW,NY_AM,NY_PM,NY_AM,True,True
51632658c72e426f56efe847,2011,DOZ_LAST_00007095,NY_PM_H_00004066,NY_PM_H_00004066,OBJECTIVE_LIQUIDITY,NY_PM_HIGH,DOZ_LAST_00007095,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-06-14T17:32:00+00:00,2011-06-14T17:32:00+00:00,2011-06-14T17:32:00+00:00,2011-06-14T17:32:00+00:00,2011-06-14T17:33:00+00:00,762812,0,762812,762813,SHORT,RESISTANCE,RESISTANCE,RESISTANCE,SAME_SIDE,1524.7040000000002,1525.904,1524.7535,1525.904,0.9587500000001166,2011-06-13T15:30:00+00:00,2011-06-13T17:30:00+00:00,30min,DOZ_LAST,2011-06-13T19:59:00+00:00,2011-06-13T20:00:00+00:00,SESSION,NY_PM_HIGH,NY_PM,TRANSITION,NY_PM,True,True
dd4ba4377a48f66fe875700e,2011,DOZ_LAST_00007104,NY_AM_L_00004085,NY_AM_L_00004085,OBJECTIVE_LIQUIDITY,NY_AM_LOW,DOZ_LAST_00007104,DISPLACEMENT_ORIGIN,DOZ_LAST,2011-06-23T14:34:00+00:00,2011-06-23T14:35:00+00:00,2011-06-23T14:35:00+00:00,2011-06-23T14:35:00+00:00,2011-06-23T14:36:00+00:00,775595,0,775595,775596,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1513.3655,1514.9015,1514.1335,1514.9015,0.5,2011-06-15T12:30:00+00:00,2011-06-15T14:00:00+00:00,30min,DOZ_LAST,2011-06-15T15:59:00+00:00,2011-06-15T16:00:00+00:00,SESSION,NY_AM_LOW,NY_AM,NY_PM,NY_AM,True,True
77c5a3d95e5796040df1449b,2011,DOZ_LAST_00003573,LONDON_L_00004181,DOZ_LAST_00003573,DISPLACEMENT_ORIGIN,DOZ_LAST,LONDON_L_00004181,OBJECTIVE_LIQUIDITY,LONDON_LOW,2011-06-28T13:21:00+00:00,2011-06-28T13:21:00+00:00,2011-06-28T13:21:00+00:00,2011-06-28T13:21:00+00:00,2011-06-28T13:22:00+00:00,782721,0,782721,782722,LONG,SUPPORT,SUPPORT,SUPPORT,SAME_SIDE,1497.48,1498.2395,1497.48,1498.1965,0.9433838051350902,2011-06-28T07:00:00+00:00,2011-06-28T07:30:00+00:00,15min,DOZ_LAST,2011-06-28T11:59:00+00:00,2011-06-28T12:00:00+00:00,SESSION,LONDON_LOW,LONDON,NY_AM,NY_AM,True,True
