n,mean,sum,pf,win_rate,max_dd,losing_streak,avg_win,avg_loss,scenario,year
131,0.5339401757295054,69.94616302056521,1.490096094260245,0.15267175572519084,21.984574345892323,18,10.633272285382615,-1.2857593034872714,DOUBLE_COST,2021
10,-1.188133235082654,-11.88133235082654,0.0,0.0,11.88133235082654,10,,-1.188133235082654,DOUBLE_COST,2022
131,-0.01835888222045287,-2.4050135708793263,0.9841164041846895,0.08396946564885496,58.44213510266509,46,13.546356166963427,-1.2617910950623086,DOUBLE_COST,2023
122,-0.4160618222271707,-50.759542311714824,0.6536630136711381,0.06557377049180328,96.68470182844166,35,11.975199267534215,-1.285624003964812,DOUBLE_COST,2024
97,-0.07573425542237529,-7.3462227759704035,0.9344798391071915,0.10309278350515463,34.014496150125574,25,10.47753391351623,-1.2887535851854335,DOUBLE_COST,2025
30,-0.3129326402989669,-9.387979208969007,0.7237775206877887,0.1,15.996878565643247,13,8.199680601732142,-1.258778556080201,DOUBLE_COST,2026
3,-1.2401432221508975,-3.7204296664526924,0.0,0.0,3.7204296664526924,3,,-1.2401432221508975,HARD_STRESS,2001
5,-1.2725740448821337,-6.362870224410669,0.0,0.0,6.362870224410669,5,,-1.2725740448821337,HARD_STRESS,2002
100,-0.9711218335154777,-97.11218335154777,0.269721928402806,0.03,118.63416140894661,78,11.955850053892897,-1.3709250877652215,HARD_STRESS,2003
92,-1.1554575939313139,-106.30209864168087,0.2071651855534206,0.03260869565217391,107.54339284392653,52,9.258798759652462,-1.5064999429285197,HARD_STRESS,2004
113,-0.5643717059936639,-63.774002777284025,0.6310155908878832,0.07079646017699115,83.34212494133864,28,13.632821960766655,-1.6460626520325456,HARD_STRESS,2005
78,-1.3447349011431307,-104.8893222891642,0.14628329517580352,0.02564102564102564,104.88932228916424,40,8.986327435384696,-1.6166049626307049,HARD_STRESS,2006
116,-0.6752900171166969,-78.33364198553684,0.5416890765127262,0.05172413793103448,109.0641982038797,38,15.430746542164181,-1.5538011021683806,HARD_STRESS,2007
15,0.7731331352385994,11.596997028578992,1.6354062008162897,0.13333333333333333,9.94324609235062,7,14.924154680125326,-1.4039471024362817,HARD_STRESS,2008
85,-0.13989661042659102,-11.891211886260237,0.8936387429685807,0.09411764705882353,38.813818163441425,19,12.488625956244082,-1.4519509030677,HARD_STRESS,2009
95,-0.2926272821774277,-27.799591806855634,0.7836871592318186,0.11578947368421053,49.93320628612591,25,9.156008010330448,-1.5299485704820304,HARD_STRESS,2010
86,-0.40837923752893857,-35.12061442748872,0.7100140543033657,0.09302325581395349,55.90487106111612,29,10.748852750166217,-1.5527107234463904,HARD_STRESS,2011
101,-1.0156467875933877,-102.58032554693214,0.33384432112206136,0.0594059405940594,102.58032554693217,34,8.568032025281429,-1.6209317652486395,HARD_STRESS,2012
128,-0.352465673660413,-45.11560622853286,0.7748152719393627,0.1015625,74.49503597291954,15,11.941054593684841,-1.7421679647516155,HARD_STRESS,2013
131,0.24339418791166603,31.88463861642825,1.1672375708538383,0.15267175572519084,39.308335329336984,14,11.126969835838809,-1.7176104333364672,HARD_STRESS,2014
94,-0.10205253659728517,-9.592938440144806,0.9294559026340794,0.11702127659574468,49.537062264681865,23,11.490186589568067,-1.6383733846432955,HARD_STRESS,2015
81,0.3648151314478608,29.550025647276726,1.2541835265614196,0.18518518518518517,29.13998171899269,8,9.720313999794591,-1.7614346113582144,HARD_STRESS,2016
125,-0.8236994884840566,-102.96243606050707,0.5287054837775944,0.104,102.96243606050712,24,8.884988815097962,-1.9506008094355411,HARD_STRESS,2017
118,0.35652705941679136,42.07019301118138,1.2524951492767766,0.11016949152542373,37.29285274687297,26,16.052924589022332,-1.5868364442486569,HARD_STRESS,2018
104,0.2361487317277871,24.55946809968986,1.1678831465186243,0.1346153846153846,34.16030897964397,18,12.20346646542019,-1.6254340268465866,HARD_STRESS,2019
117,0.11471017173703638,13.421090093233255,1.0926727937837257,0.1452991452991453,24.169459765369695,15,9.30843658389308,-1.4482233183294915,HARD_STRESS,2020
131,0.24820714214070266,32.51513562043205,1.1863987791385835,0.15267175572519084,27.230785142938256,18,10.347685049730309,-1.571518606974542,HARD_STRESS,2021
10,-1.3762664701653105,-13.762664701653105,0.0,0.0,13.762664701653103,10,,-1.3762664701653105,HARD_STRESS,2022
131,-0.2814772390106745,-36.87351831039836,0.7983178582389528,0.08396946564885496,74.55794354024789,46,13.268758591323246,-1.5235821901246174,HARD_STRESS,2023
122,-0.7018158667118216,-85.62153573884224,0.5219939187309104,0.06557377049180328,123.49139938436149,35,11.68759214564178,-1.571248007929618,HARD_STRESS,2024
97,-0.3648185497848309,-35.3873993291286,0.7421553929728658,0.10309278350515463,49.51097335169247,25,10.185572449313788,-1.5775071703708794,HARD_STRESS,2025
30,-0.5722485873486719,-17.16745762046016,0.58101625393487,0.1,18.99375713128649,13,7.935528135956915,-1.517557112160404,HARD_STRESS,2026
