date,open,high,low,close,bars,last_min,sma200,atr14,prior_close,prior_sma200,prior_atr14
2004-02-06,31.1683,31.7388,31.1087,31.7218,78,955,28.142631,0.5345257404320766,31.0695,28.098432499999998,0.5241584896960825
2004-02-09,31.7984,31.8325,31.5515,31.5941,78,955,28.1839775,0.5164167589726425,31.7218,28.142631,0.5345257404320766
2004-02-10,31.5608,31.8581,31.5344,31.7048,78,955,28.2248135,0.5026512761888823,31.5941,28.1839775,0.5164167589726425
2004-02-11,31.7107,32.0795,31.5089,32.0028,78,955,28.2675225,0.5075047564611052,31.7048,28.2248135,0.5026512761888823
2004-02-12,31.9517,32.105,31.7303,31.7899,78,955,28.311805999999997,0.49801870242816887,32.0028,28.2675225,0.5075047564611052
2004-02-13,31.841,32.0028,31.3045,31.4748,78,955,28.3520455,0.5123245093975853,31.7899,28.311805999999997,0.49801870242816887
2004-02-17,31.7473,32.0369,31.6963,31.9032,78,955,28.393448000000003,0.5158799015834724,31.4748,28.3520455,0.5123245093975853
2004-02-18,31.9432,32.0795,31.7814,31.9262,78,955,28.436114500000002,0.5003241943275102,31.9032,28.393448000000003,0.5158799015834724
2004-02-19,32.2498,32.2753,31.4408,31.4748,78,955,28.4756725,0.5241938947326882,31.9262,28.436114500000002,0.5003241943275102
2004-02-20,31.5149,31.6281,31.1257,31.4323,78,955,28.512507,0.5226371879660677,31.4748,28.4756725,0.5241938947326882
2004-02-23,31.5089,31.5344,30.751,30.9971,78,955,28.547293,0.5412631031113486,31.4323,28.512507,0.5226371879660677
2004-02-24,30.9128,31.2108,30.7425,30.9809,78,955,28.580337999999998,0.5360514528891094,30.9971,28.547293,0.5412631031113486
2004-02-25,31.0235,31.2279,30.9383,31.1512,78,955,28.615767,0.5184477776827444,30.9809,28.580337999999998,0.5360514528891094
2004-02-26,31.0576,31.3726,30.917,31.2534,78,955,28.653622499999997,0.5139586507054053,31.1512,28.615767,0.5184477776827444
2004-02-27,31.3045,31.4578,30.8872,31.1172,78,955,28.688285500000003,0.5180044613693048,31.2534,28.653622499999997,0.5139586507054053
2004-03-01,31.2449,31.5685,31.0576,31.4919,78,955,28.7229495,0.5174969998429259,31.1172,28.688285500000003,0.5180044613693048
2004-03-02,31.4953,31.6622,31.1853,31.2338,78,955,28.756876000000002,0.5145972141398596,31.4919,28.7229495,0.5174969998429259
2004-03-03,31.0916,31.1938,30.8361,31.0661,78,955,28.7906875,0.5062474131298697,31.2338,28.756876000000002,0.5145972141398596
2004-03-04,31.032,31.3641,30.9979,31.3462,78,955,28.824367499999997,0.4962440264777361,31.0661,28.7906875,0.5062474131298697
2004-03-05,31.0167,31.6366,30.9639,31.2449,78,955,28.858604999999997,0.5088480245864694,31.3462,28.824367499999997,0.4962440264777361
