scenario,sample,entry_model,risk_rule,target_r,dimension,group,trades,sum_net_R,mean_net_R,pos_R,neg_R,pf_net,positive_years,active_years,arch_mean_net_R,arch_pf_net,arch_trades,arch_positive_years,arch_active_years
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_AM->NY_PM,10,3.2461879585222766,0.32461879585222764,6.336589598689045,3.0904016401667684,2.0504097319683994,6,8,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->ASIA_CME,6,-2.403255172003223,-0.4005425286672038,1.8075813426022265,4.2108365146054485,0.4292689436724891,2,6,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->LONDON,2,-0.17815361652608652,-0.08907680826304326,0.9314651645758806,1.109618781101967,0.8394461056713898,1,2,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->NY_AM,8,-4.846954027853694,-0.6058692534817117,1.925810116218826,6.77276414407252,0.28434625438777206,1,5,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->NY_PM,9,-2.172769356242121,-0.24141881736023565,3.6473715240892113,5.820140880331332,0.626680968568165,3,7,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,NY_PM->TRANSITION,1,-1.2479338842975598,-1.2479338842975598,0.0,1.2479338842975598,0.0,0,1,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_activation_to_entry,TRANSITION->ASIA_CME,2,-0.3081849822843684,-0.1540924911421842,0.7683397683397813,1.0765247506241498,0.7137223439538308,1,2,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->ASIA_CME,18,-8.305495916377726,-0.46141643979876257,5.543778244361489,13.849274160739213,0.4002937756895114,2,10,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->LONDON,18,-6.773947511745483,-0.3763304173191935,6.030301512774927,12.804249024520411,0.47096096781832114,1,10,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->NY_AM,26,-14.987944299580787,-0.5764593961377226,6.307614004102356,21.295558303683144,0.29619387827983973,1,12,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,ASIA_CME->NY_PM,5,-1.612648396688837,-0.3225296793377674,1.7412986791134386,3.3539470758022754,0.5191789374603993,2,4,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->ASIA_CME,6,-4.834155824707713,-0.8056926374512855,0.7868561278863618,5.621011952594074,0.13998478112526178,0,5,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->LONDON,11,-4.557961146172054,-0.41436010419745944,3.4880458974878064,8.04600704365986,0.43351265771465336,2,7,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->NY_AM,31,-6.5384561293702035,-0.21091793965710334,12.591111008628273,19.12956713799847,0.6582015639871757,4,14,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,LONDON->NY_PM,5,-1.259104430399819,-0.2518208860799638,1.8721571161210973,3.131261546520916,0.5978922834476139,1,4,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_AM->ASIA_CME,6,-2.8249422821568446,-0.47082371369280746,1.730766707368149,4.555708989524993,0.37991160351719694,2,5,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_AM->LONDON,4,1.6431199578738775,0.4107799894684694,2.7318117538827424,1.088691796008865,2.5092608981692908,2,3,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_AM->NY_AM,44,-23.802079839658337,-0.5409563599922349,11.259439249647016,35.06151908930536,0.32113381114400796,1,14,-0.416446470237919,0.43409733486642305,208,1,15
S10_C6,DISPLACEMENT_ORIGIN_ONLY,ACCEPTANCE_RETEST,STRUCTURAL,1.0,transition:DISPLACEMENT_ORIGIN_origin_to_entry,NY_AM->NY_PM,9,2.2756701866634947,0.25285224296261055,5.366071826830264,3.0904016401667684,1.7363671301121535,5,7,-0.416446470237919,0.43409733486642305,208,1,15
