dimension,group,fully_rejected_architectures_observed,eligible_architectures_n50,repeated_signal_architectures,robust_signal_architectures,median_primary_delta_rr15,median_stress_delta_rr15,primary_and_stress_positive_rr15_architectures
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,NY_PM->NY_PM,14,8,0,0,0.0024954919379100255,-0.006655434310657415,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,TRANSITION->ASIA_CME,14,8,0,0,0.046740855956063,0.03348426965242977,0
transition:OBJECTIVE_LIQUIDITY_activation_to_entry,TRANSITION->LONDON,14,8,0,0,0.003803001761918469,-0.006304153729131068,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,ASIA_CME->NY_PM,14,8,0,0,0.040417900288711214,0.0333886125693883,1
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,LONDON->LONDON,14,8,0,0,0.02161306183310551,0.03892010876198933,4
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,NY_AM->ASIA_CME,14,8,0,0,-0.04833309732876297,-0.06927831736953055,1
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,NY_AM->LONDON,14,8,0,0,0.04762186449922581,0.03584340571105192,2
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,NY_AM->NY_PM,14,8,0,0,-0.005386257793760911,-0.013794046121985912,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,NY_PM->ASIA_CME,14,8,0,0,0.038764252742432725,0.02641256473592297,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,NY_PM->LONDON,14,8,0,0,-0.0004604468817609381,0.0013393742294368662,0
transition:OBJECTIVE_LIQUIDITY_origin_to_entry,TRANSITION->NY_AM,14,8,0,0,-0.013205448695787138,0.006331525427239356,0
relevant_source_tf,W1,9,7,0,0,-0.042587263949395084,-0.01253446845155106,0
relevant_variant,DOZ_BASE,13,7,0,0,-0.03985882618898448,-0.01802806301853582,0
transition:DISPLACEMENT_ORIGIN_activation_to_entry,ASIA_CME->NY_PM,14,7,0,0,-0.21714786876787195,-0.21775678411510738,0
