models,model_count,risk_pct,risk_dollars_10k,n,tpd,stress_mean,stress_pf,stress_dd,remove_best10_mean,step1_days,step2_days
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom,6,0.7000000000000001,70.0,1322,1.772117962466488,0.1581280032615358,1.3961119397577917,11.017062611014538,-0.035890648016579235,50.980083836644525,25.490041918322262
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend,6,0.7000000000000001,70.0,1424,1.9088471849865951,0.14663122939440953,1.3627060703919203,12.4563844965556,-0.04859800099577443,51.03925450630753,25.519627253153764
ema_rev+kalman_mom+ou_rev+pm_mom+vwap_rev,5,0.75,75.0,1352,1.8123324396782843,0.14385479848121252,1.3491620631619317,11.43701095716084,-0.05451453575690189,51.141860056530646,25.570930028265323
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,10,0.5499999999999999,55.0,1944,2.6058981233243967,0.13599970660845598,1.3311822919341914,15.6508972995289,-0.06048731701863963,51.30289890616284,25.65144945308142
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,9,0.6,60.0,1860,2.493297587131367,0.1301923925501561,1.3146578526693304,14.302406754844043,-0.0654481674222589,51.34392019906125,25.671960099530626
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom,7,0.65,65.0,1520,2.037533512064343,0.14700922049635973,1.3660017302035954,12.294814789351506,-0.045225428234156824,51.3614538051126,25.6807269025563
kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend,7,0.65,65.0,1622,2.1742627345844503,0.1376150835390602,1.3389878548696816,11.516152506323607,-0.05681229744740554,51.417218948643125,25.708609474321563
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev+vwap_scalp,10,0.5499999999999999,55.0,1919,2.572386058981233,0.1372506329800073,1.337377464106576,15.82670018581981,-0.05807682756163244,51.497578372589835,25.748789186294918
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+vwap_rev,6,0.65,65.0,1409,1.888739946380697,0.1580359046835573,1.3914388413440961,12.408706037339044,-0.03771651063520772,51.541696678654134,25.770848339327067
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend,8,0.6,60.0,1719,2.304289544235925,0.14029916415194982,1.3458265019038955,12.470480811708512,-0.053757985515236376,51.553317379466804,25.776658689733402
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+vwap_rev,7,0.6,60.0,1506,2.0187667560321714,0.1597843209667851,1.3959269622954666,12.869458130124357,-0.036504342469007627,51.668808161073216,25.834404080536608
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend+vwap_rev,7,0.6,60.0,1608,2.155495978552279,0.1494980334091214,1.3666120041778231,14.34078985428971,-0.04774602719012919,51.7208975573499,25.86044877867495
kalman_mom+ou_rev+pd_rev+pm_mom+sweep+vwap_rev,6,0.75,75.0,1366,1.8310991957104559,0.1406048386537283,1.3423465637399556,11.617930200751129,-0.054791250222330064,51.787696999541616,25.893848499770808
kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom,6,0.7000000000000001,70.0,1423,1.9075067024128687,0.1444071802372598,1.359497631691804,12.7349906284479,-0.0480681687360188,51.861741906099255,25.930870953049627
kalman_mom+ou_rev+pd_rev+pm_mom,4,0.8500000000000001,85.0,1141,1.529490616621984,0.14799039713528148,1.366991255196072,9.978359682144248,-0.04492174163111459,51.97574484001807,25.987872420009037
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+sweep,6,0.8,80.0,1279,1.7144772117962466,0.13951433949461373,1.343207898757897,11.057076761040449,-0.052729145454920905,52.25880188885417,26.129400944427086
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+sweep+vwap_rev+vwap_scalp,9,0.6,60.0,1834,2.4584450402144773,0.12968753108237047,1.3180213860413246,14.736837220756694,-0.06351914252943013,52.274516339224576,26.137258169612288
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+trend,7,0.65,65.0,1635,2.1916890080428955,0.13391356799611842,1.3274369629457712,12.050553009609445,-0.060073221088369176,52.41832416782011,26.209162083910055
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_scalp,8,0.6,60.0,1693,2.2694369973190347,0.13990746901298218,1.3505502290858442,14.45459930889418,-0.05150646467953508,52.49158890028878,26.24579445014439
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend+vwap_rev,8,0.5499999999999999,55.0,1705,2.285522788203753,0.15152811460335092,1.371929961431,14.34078985428971,-0.04610648624783488,52.49990712486444,26.24995356243222
kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_scalp,8,0.6,60.0,1795,2.4061662198391423,0.13182228155145828,1.326992571714856,14.866406483322653,-0.06068537208622198,52.54535132484896,26.27267566242448
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+vwap_rev,6,0.65,65.0,1422,1.906166219839142,0.15359325448131525,1.3771757517840366,12.656633129621415,-0.04282890859454029,52.547702405228314,26.273851202614157
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend,8,0.65,65.0,1562,2.0938337801608577,0.1398109268501242,1.3436512070022568,12.575944955281699,-0.05569543382136853,52.5537034980524,26.2768517490262
kalman_mom+ou_rev+pd_rev+pm_mom+trend+vwap_rev,6,0.65,65.0,1524,2.0428954423592494,0.14315436890965824,1.3479520789645392,13.159606726401876,-0.054236493709913305,52.6060746724798,26.3030373362399
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+trend+vwap_rev,7,0.6,60.0,1621,2.1729222520107236,0.1456692510149076,1.3545898994576147,13.685449328998367,-0.05215510284711272,52.65464329446494,26.32732164723247
ema_rev+kalman_mom+pd_rev+pm_mom+vwap_rev,5,0.95,95.0,924,1.2386058981233243,0.16117538525550765,1.3957718939278745,9.094930426569674,-0.038303307224782736,52.72839280863084,26.36419640431542
kalman_mom+ou_rev+pm_mom+vwap_rev,4,0.8,80.0,1255,1.6823056300268096,0.14066062937828944,1.340721306871282,10.852151115436735,-0.05722597679775813,52.824154970040205,26.412077485020102
ema_rev+kalman_mom+open_drive+ou_rev+pm_mom+vwap_rev,6,0.65,65.0,1436,1.9249329758713136,0.1509173168872893,1.3699920401982102,12.964253000218685,-0.04717932343887904,52.958046366777815,26.479023183388907
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom,6,0.7000000000000001,70.0,1436,1.9249329758713136,0.14013122259813282,1.345862447365197,11.335915652746763,-0.051883137408765996,52.960421933758646,26.480210966879323
ema_rev+kalman_mom+open_drive+ou_rev+pm_mom+trend+vwap_rev,7,0.6,60.0,1635,2.1916890080428955,0.1433868593717935,1.3485578338221964,14.896336817169352,-0.055893712944734934,53.03474288007206,26.51737144003603
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep,7,0.7000000000000001,70.0,1363,1.8270777479892761,0.14722261167803305,1.3657584239127374,11.394972084367481,-0.046473265459949335,53.10928002166172,26.55464001083086
kalman_mom+ou_rev+pd_rev+pm_mom+vwap_rev,5,0.7000000000000001,70.0,1325,1.7761394101876675,0.15128076241176164,1.3710979566034986,11.617930200751129,-0.04454005757498841,53.16688359055222,26.58344179527611
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend,7,0.7000000000000001,70.0,1465,1.9638069705093835,0.1368068737631726,1.3359610392085632,12.483118600601841,-0.05807843312765797,53.17349957412565,26.586749787062825
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev,8,0.5499999999999999,55.0,1704,2.284182305630027,0.14967369848514955,1.3693286089704029,14.532705809610924,-0.04580276658657419,53.18155812045718,26.59077906022859
kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_rev,8,0.5499999999999999,55.0,1806,2.420911528150134,0.14108617528493003,1.3450263729108374,15.181996204290115,-0.05525801367517838,53.232140732844165,26.616070366422083
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom,5,0.75,75.0,1238,1.6595174262734584,0.15090439483699697,1.3743640833552886,11.017062611014541,-0.04169811775679727,53.24208216885707,26.621041084428533
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_scalp,9,0.5499999999999999,55.0,1892,2.5361930294906165,0.13455792445122292,1.3338590604100706,13.357321888322417,-0.058618156935065786,53.27773168928602,26.63886584464301
ema_rev+kalman_mom+open_drive+or_rev+ou_lunch+ou_rev+pd_rev+pm_mom+trend,9,0.5499999999999999,55.0,1963,2.631367292225201,0.1295892167817316,1.3109508438596147,16.28050918942651,-0.07439419967929412,53.319611124619804,26.659805562309902
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+vwap_rev+vwap_scalp,8,0.5499999999999999,55.0,1679,2.2506702412868633,0.1513070382730735,1.3775145477468664,15.741826331900807,-0.0428329431976368,53.39078563828471,26.695392819142356
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev,7,0.6,60.0,1620,2.1715817694369974,0.14371506340441156,1.3517689778453839,12.922914585851544,-0.050748309748333595,53.40356770914503,26.701783854572515
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pd_rev+pm_mom+sweep+trend,9,0.6,60.0,1760,2.359249329758713,0.13226901283102863,1.324103945102059,12.597125950132494,-0.06151362530057926,53.40928905562016,26.70464452781008
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pm_mom,6,0.7000000000000001,70.0,1450,1.9436997319034852,0.13761109988181783,1.3390671723806689,12.254597398047167,-0.05624767907099538,53.40959923213566,26.70479961606783
kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev,6,0.65,65.0,1523,2.0415549597855227,0.14107406765482638,1.3449115024876555,11.846081891872615,-0.05378117783704766,53.4168628810247,26.70843144051235
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+trend+vwap_rev+vwap_scalp,8,0.5499999999999999,55.0,1781,2.3873994638069704,0.14250542818999395,1.3520738974360027,15.726480082279753,-0.05354355325789016,53.44176722979039,26.720883614895197
kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_rev,7,0.6,60.0,1722,2.3083109919571045,0.1350615871434585,1.3276696669430317,13.069894319508164,-0.06134213472075042,53.45921546819964,26.72960773409982
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_scalp,8,0.6,60.0,1808,2.423592493297587,0.1285166004193394,1.316634250559718,14.38325273422592,-0.06360726618678385,53.50938038649107,26.754690193245533
ema_rev+kalman_mom+or_rev+ou_lunch+ou_rev+pd_rev+pm_mom,7,0.65,65.0,1680,2.25201072386059,0.12764155060491436,1.305243311976356,13.366179869359541,-0.07535197271491287,53.520987477245605,26.760493738622802
kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_scalp,7,0.65,65.0,1711,2.2935656836461127,0.12530415890199856,1.3085193639302715,13.731147315937903,-0.06702260610665457,53.531569365625934,26.765784682812967
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+vwap_rev,8,0.6,60.0,1547,2.0737265415549597,0.1501321181521571,1.3694438625233105,12.869458130124361,-0.045849555121321175,53.53325508997338,26.76662754498669
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+vwap_rev,7,0.65,65.0,1450,1.9436997319034852,0.14778744076175238,1.3633669053124375,12.780075384586578,-0.04761764984916106,53.55745605037686,26.77872802518843
kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,8,0.6,60.0,1649,2.210455764075067,0.14069862773030678,1.3429100576570054,14.712159201537247,-0.05620335543457293,53.58917359323354,26.79458679661677
ema_rev+kalman_mom+or_rev+ou_rev+pd_rev+pm_mom+vwap_rev,7,0.6,60.0,1666,2.233243967828418,0.13902699714151723,1.3309959189125442,14.945178330956239,-0.06764445859149477,53.68011499580164,26.84005749790082
kalman_mom+ou_rev+pd_rev+pm_mom+trend+vwap_rev+vwap_scalp,7,0.6,60.0,1697,2.274798927613941,0.13646233830455579,1.3345676463855614,14.692220823020495,-0.05864092149207635,53.689940918433145,26.844970459216572
ema_rev+kalman_mom+open_drive+ou_rev+pm_mom,5,0.75,75.0,1252,1.67828418230563,0.14786525557980784,1.3660805333580561,11.930610956642312,-0.04812209758409285,53.72879455068593,26.864397275342967
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pm_mom+vwap_rev,7,0.6,60.0,1634,2.190348525469169,0.14144801829428633,1.3457282980027878,14.28835154002719,-0.05559842999931546,53.79459690312501,26.897298451562506
ema_rev+kalman_mom+pd_rev+pm_mom+vwap_rev+vwap_scalp,6,0.8500000000000001,85.0,1097,1.470509383378016,0.14798120862406663,1.3677275354573206,10.197330444041802,-0.04780684271550069,54.06381696577067,27.031908482885335
ema_rev+kalman_mom+ou_rev+pm_mom+trend+vwap_rev,6,0.65,65.0,1551,2.079088471849866,0.13682265349409045,1.3295820081011824,13.07407036329694,-0.06276246690972487,54.08236368106316,27.04118184053158
ema_rev+kalman_mom+or_rev+ou_rev+pd_rev+vwap_rev+vwap_scalp,7,0.65,65.0,1514,2.0294906166219837,0.14005612543751333,1.3362637961059216,13.733182961678693,-0.0715858480083493,54.12494748243684,27.06247374121842
ema_rev+kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+trend+vwap_rev,8,0.5499999999999999,55.0,1819,2.4383378016085793,0.13773427748096848,1.3346278853152578,14.175761616420061,-0.058196577393265045,54.13789977589885,27.068949887949426
ema_rev+kalman_mom+open_drive+ou_rev+pd_rev+pm_mom+sweep+trend+vwap_rev,9,0.5499999999999999,55.0,1746,2.3404825737265416,0.14316989393134136,1.349362057832332,14.712159201537247,-0.054160755307162675,54.260050721805094,27.130025360902547
ema_rev+kalman_mom+ou_rev+pd_rev+pm_mom+trend+vwap_rev+vwap_scalp,8,0.5499999999999999,55.0,1794,2.4048257372654156,0.13909653610907316,1.3413263592782325,15.73175073755041,-0.056536739336895875,54.35473519422296,27.17736759711148
kalman_mom+ou_lunch+ou_rev+pd_rev+pm_mom+vwap_rev+vwap_scalp,7,0.6,60.0,1696,2.2734584450402147,0.13459029181769613,1.3317357790747346,13.603683404834022,-0.058190034574680034,54.46882344751264,27.23441172375632
ema_rev+kalman_mom+open_drive+pd_rev+pm_mom+vwap_rev,6,0.8,80.0,1008,1.351206434316354,0.1697932891663067,1.4225929921784113,11.207032311351625,-0.028989351750273375,54.483849797096724,27.241924898548362
ema_rev+kalman_mom+open_drive+ou_lunch+ou_rev+pm_mom+trend+vwap_rev,8,0.5499999999999999,55.0,1833,2.4571045576407506,0.13575903432384004,1.329433135090282,15.86261930323971,-0.062458252248433654,54.50607794118684,27.25303897059342
