datetime,open,high,low,close,volume
2026-08-10 07:07:00,29881.75,29883.5,29874.25,29878.25,164
2026-08-10 07:08:00,29878.0,29879.5,29874.0,29878.75,37
2026-08-10 07:09:00,29877.75,29879.25,29874.25,29876.0,92
2026-08-10 07:10:00,29876.75,29881.75,29873.5,29881.75,107
2026-08-10 07:11:00,29880.0,29882.75,29872.75,29874.25,96
2026-08-10 07:12:00,29872.25,29877.25,29851.5,29854.75,372
2026-08-10 07:13:00,29855.25,29863.5,29854.5,29861.0,116
2026-08-10 07:14:00,29863.0,29878.5,29861.5,29877.5,207
2026-08-10 07:15:00,29875.75,29882.0,29875.0,29881.0,163
2026-08-10 07:16:00,29881.5,29882.5,29874.75,29877.75,95
2026-08-10 07:17:00,29876.25,29880.75,29871.25,29878.25,95
2026-08-10 07:18:00,29879.75,29879.75,29868.75,29868.75,83
2026-08-10 07:19:00,29867.75,29875.0,29864.25,29870.25,116
2026-08-10 07:20:00,29869.0,29882.5,29868.75,29880.5,127
2026-08-10 07:21:00,29881.5,29891.25,29880.75,29890.0,163
2026-08-10 07:22:00,29890.0,29892.0,29886.5,29887.75,107
2026-08-10 07:23:00,29887.5,29889.5,29876.5,29877.5,76
2026-08-10 07:24:00,29879.0,29883.75,29875.5,29881.5,127
2026-08-10 07:25:00,29877.0,29885.25,29874.0,29883.75,75
2026-08-10 07:26:00,29884.75,29888.5,29878.0,29888.25,106
2026-08-10 07:27:00,29888.0,29899.5,29885.25,29899.25,135
2026-08-10 07:28:00,29898.75,29900.0,29897.25,29898.5,165
2026-08-10 07:29:00,29900.0,29913.0,29897.5,29910.25,172
2026-08-10 07:30:00,29909.25,29919.75,29908.25,29911.25,209
2026-08-10 07:31:00,29911.75,29914.0,29904.75,29906.0,115
2026-08-10 07:32:00,29905.5,29913.25,29905.0,29912.25,159
2026-08-10 07:33:00,29911.75,29912.75,29907.25,29907.5,104
2026-08-10 07:34:00,29909.0,29911.0,29906.0,29910.75,122
2026-08-10 07:35:00,29910.25,29912.0,29907.0,29909.0,45
2026-08-10 07:36:00,29909.5,29909.5,29903.75,29903.75,65
2026-08-10 07:37:00,29905.25,29909.0,29897.25,29898.75,117
2026-08-10 07:38:00,29898.0,29898.75,29890.25,29897.5,179
2026-08-10 07:39:00,29897.5,29903.5,29892.5,29895.0,147
2026-08-10 07:40:00,29893.0,29908.5,29891.5,29899.5,206
2026-08-10 07:41:00,29894.5,29899.25,29886.25,29890.5,142
2026-08-10 07:42:00,29890.0,29891.25,29881.75,29881.75,129
2026-08-10 07:43:00,29882.25,29887.0,29872.0,29876.25,126
2026-08-10 07:44:00,29876.0,29879.25,29874.75,29875.5,95
2026-08-10 07:45:00,29874.25,29880.25,29873.5,29878.0,104
2026-08-10 07:46:00,29877.0,29884.25,29875.75,29882.0,119
2026-08-10 07:47:00,29880.75,29884.0,29870.25,29873.75,260
2026-08-10 07:48:00,29872.75,29873.25,29846.5,29859.25,311
2026-08-10 07:49:00,29859.5,29859.5,29846.0,29848.25,216
2026-08-10 07:50:00,29847.25,29858.5,29846.0,29857.75,156
2026-08-10 07:51:00,29857.5,29865.75,29857.25,29862.75,193
2026-08-10 07:52:00,29862.0,29866.5,29856.0,29862.5,312
2026-08-10 07:53:00,29862.5,29869.0,29859.75,29868.5,156
2026-08-10 07:54:00,29870.25,29874.0,29864.0,29864.0,130
2026-08-10 07:55:00,29862.75,29869.0,29861.0,29868.75,54
2026-08-10 07:56:00,29870.75,29871.0,29862.5,29868.0,44
2026-08-10 07:57:00,29868.0,29876.25,29866.75,29869.25,49
2026-08-10 07:58:00,29870.25,29871.5,29860.0,29860.0,100
2026-08-10 07:59:00,29860.0,29873.0,29859.25,29871.0,108
2026-08-10 08:00:00,29870.0,29874.5,29866.25,29869.75,94
2026-08-10 08:01:00,29872.25,29872.25,29854.0,29862.75,161
2026-08-10 08:02:00,29862.0,29875.5,29861.0,29866.0,103
2026-08-10 08:03:00,29866.5,29880.0,29863.0,29878.5,85
2026-08-10 08:04:00,29878.25,29880.75,29874.5,29877.25,80
2026-08-10 08:05:00,29877.5,29878.75,29866.25,29866.25,74
2026-08-10 08:06:00,29866.75,29874.0,29864.25,29873.75,113
2026-08-10 08:07:00,29874.0,29880.5,29869.0,29869.0,104
2026-08-10 08:08:00,29870.5,29875.0,29868.75,29874.0,39
2026-08-10 08:09:00,29874.5,29882.25,29874.25,29879.5,63
2026-08-10 08:10:00,29880.0,29883.75,29878.75,29879.0,46
2026-08-10 08:11:00,29879.25,29880.75,29871.75,29875.0,81
2026-08-10 08:12:00,29873.25,29874.75,29863.75,29866.25,80
2026-08-10 08:13:00,29866.75,29866.75,29847.5,29848.25,192
2026-08-10 08:14:00,29848.75,29852.25,29843.75,29845.0,132
2026-08-10 08:15:00,29845.75,29846.5,29842.25,29844.0,104
2026-08-10 08:16:00,29841.5,29842.75,29832.25,29835.0,245
2026-08-10 08:17:00,29834.25,29836.75,29830.0,29836.75,116
2026-08-10 08:18:00,29836.75,29838.75,29831.5,29834.25,130
2026-08-10 08:19:00,29835.5,29837.25,29826.5,29830.25,134
2026-08-10 08:20:00,29829.25,29832.75,29828.25,29832.75,53
2026-08-10 08:21:00,29831.5,29834.25,29826.75,29830.25,166
2026-08-10 08:22:00,29830.25,29834.75,29822.75,29826.25,145
