direction,entry_time,exit_time,entry_price,exit_price,contracts,stop_points,pnl_per_contract,pnl,fees,exit_reason,days_in_trade,account_value,risk_dollars,risk_pct,account_value_entry,scenario
long,2026-02-24 10:05:00,2026-02-25 08:30:00,25031.0,25231.0,5,100.0,3980.0,19900.0,25.0,target,2,1022650.0,10000.0,0.9972575417601595,1002750.0,PRIMARY
long,2026-02-25 13:00:00,2026-02-26 08:30:00,25361.75,25261.75,5,100.0,-2020.0,-10100.0,25.0,stop,2,1012550.0,10000.0,0.9778516599031928,1022650.0,PRIMARY
long,2026-02-27 10:00:00,2026-02-27 11:20:00,25017.25,24917.25,5,100.0,-2020.0,-10100.0,25.0,stop,1,1002450.0,10000.0,0.987605550343193,1012550.0,PRIMARY
long,2026-03-02 10:05:00,2026-03-02 10:25:00,24958.5,24858.5,5,100.0,-2020.0,-10100.0,25.0,stop,1,992350.0,10000.0,0.9975559878298169,1002450.0,PRIMARY
long,2026-03-02 10:35:00,2026-03-02 20:00:00,24958.5,24858.5,4,100.0,-2020.0,-8080.0,20.0,stop,2,984270.0,8000.0,0.8061671789187282,992350.0,PRIMARY
long,2026-03-03 10:45:00,2026-03-03 21:20:00,24661.25,24561.25,4,100.0,-2020.0,-8080.0,20.0,stop,2,976190.0,8000.0,0.812785109776789,984270.0,PRIMARY
long,2026-03-04 10:00:00,2026-03-04 19:55:00,25148.5,25048.5,4,100.0,-2020.0,-8080.0,20.0,stop,2,968110.0,8000.0,0.8195125948841926,976190.0,PRIMARY
short,2026-03-05 11:25:00,2026-03-05 14:30:00,24930.5,24984.5,4,100.0,-1100.0,-4400.0,20.0,eod_short,1,963710.0,8000.0,0.8263523773124954,968110.0,PRIMARY
long,2026-03-06 10:00:00,2026-03-06 10:20:00,24893.25,24793.25,4,100.0,-2020.0,-8080.0,20.0,stop,1,955630.0,8000.0,0.8301252451463615,963710.0,PRIMARY
long,2026-03-06 10:45:00,2026-03-06 11:25:00,24893.25,24793.25,4,100.0,-2020.0,-8080.0,20.0,stop,1,947550.0,8000.0,0.8371440829609786,955630.0,PRIMARY
