sample,entry_model,risk_rule,vol_floor_k,target_r,years,total_trades_primary,weighted_avg_gross_R_primary,weighted_avg_net_R_primary,annual_median_net_R_primary,positive_years_primary,median_annual_pf_primary,min_annual_net_R_primary,max_annual_net_R_primary,weighted_avg_net_R_spread010,weighted_avg_net_R_spread012,weighted_avg_net_R_stress,positive_years_stress,median_annual_pf_stress,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,survives_vantage_gate
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,1.5,15,17430,0.05310808008111381,0.023625092595467394,0.0335823154404989,11,1.0747673733059204,-0.0861180723575237,0.1123901109834131,0.02770781788939398,0.018788063444218253,-0.021746850042317648,5,0.9866703659677812,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,2.0,15,17430,0.0525155149446482,0.023032527459001764,0.0323644927211116,11,1.0679946482330382,-0.0934832801179925,0.1020364703933848,0.027041869730691993,0.018392330214940383,-0.023267979718974856,6,0.9547706232832022,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,2.0,15,17430,0.05842667526419894,0.022848692352797347,0.030215581314609,10,1.0635398593570715,-0.074099631150818,0.0982226796407114,0.0271298106510855,0.017857422705466634,-0.026678825414064328,4,0.9588244918776608,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,1.0,15,17430,0.058260598761118096,0.02268261584971653,0.0262676723612051,11,1.06569609547114,-0.0858147089570244,0.1199111975444199,0.02799085440186454,0.01878765856188844,-0.026081720048914757,4,0.954322137787886,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,2.0,15,13892,0.04729699321726408,0.02257727889448348,0.0187783659550557,11,1.0412017418741533,-0.0781252055067707,0.1089226485521873,0.026456377794248524,0.01902721305173063,-0.017673118190984594,5,0.9683222983739904,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,1.0,15,17430,0.045898125146177526,0.020962056542139205,0.0322618451351026,11,1.08523770981242,-0.0965566748091692,0.096953881959145,0.024366637825169797,0.01629163440978695,-0.01775671897385046,5,0.98680810951491,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,0.5,15,17430,0.045685019400280566,0.020748950796242262,0.0241185900914933,11,1.0852137625477811,-0.0490343388353915,0.0695053963468139,0.025153338002115312,0.016363120283510505,-0.018272457793004477,5,0.9526937396260032,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,2.5,15,17430,0.05007399574890537,0.02059100826325897,0.0229682860176517,11,1.0472608951668616,-0.1075239588962271,0.1294094857406794,0.024889899190005203,0.014984667542129286,-0.02418308466205762,5,0.989237371812522,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,1.5,15,17430,0.041989649757702356,0.020542128776879,0.0272345208620549,11,1.0640653512229843,-0.070075261674967,0.1024914556710041,0.02441016314523629,0.016465419043123996,-0.01654418408158725,7,0.9617299972368402,True,True,True,True,True,True,False,False,False
DISPLACEMENT_ORIGIN_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,3.0,15,17430,0.04197890942990417,0.02053138844908081,0.022447116984917,11,1.0519090181711197,-0.0945514596495751,0.0957215590131591,0.024654688489826878,0.016812847125155638,-0.01423932573833883,5,0.9797740270516728,True,True,True,True,True,True,False,False,False
