year,scenario,scenario_role,spread_usd,commission_rt_usd,sample,entry_model,risk_rule,vol_floor_k,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R,pf_net,median_risk_price,min_risk_price,median_entry_delay_minutes,sum_net_R
2014,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,804,56.34328358208956,23.50746268656717,20.149253731343283,0.0,0.0178840391430146,1.065046434534266,-0.0138871279346148,0.9514718040368856,2.313609360071837,0.3869999999999436,1.0,-11.1652508594303
2015,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,833,59.42376950780313,21.368547418967587,19.20768307322929,0.0,0.0605012099946971,1.243279073231485,0.0305315641583722,1.1184730139625112,2.430500000000165,0.4500000000000455,1.0,25.432792943924056
2016,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,981,59.021406727828754,23.955147808358817,17.023445463812436,0.0,0.0369751211063463,1.1366743898077365,0.0077057568771988,1.0275266066287263,2.4850000000001278,0.4509999999997944,1.0,7.559347496532085
2017,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,936,56.83760683760684,23.824786324786324,19.33760683760684,0.0,0.0154863130814977,1.055701217858913,-0.02048741703414,0.9293674959441988,1.9465000000000143,0.3849753379145113,1.0,-19.17622234395504
2018,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,1020,55.98039215686275,26.47058823529412,17.549019607843135,0.0,-0.0133386044884229,0.955987499420011,-0.0514527899166606,0.8376004415501934,1.7647500000000491,0.3924999999999272,1.0,-52.48184571499385
2019,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,931,52.20193340494093,28.24919441460795,19.548872180451127,0.0,-0.0500491260476733,0.8450947829164325,-0.0830479976669516,0.752918305331129,2.2035000000000764,0.4584999999999581,1.0,-77.31768582793194
2020,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,866,59.122401847575055,24.59584295612009,16.28175519630485,0.0,0.0223180022830852,1.0795731669219093,0.0047205433579522,1.0164812818925522,4.284211519954965,0.4949999999998908,1.0,4.087990547986605
2021,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,999,56.55655655655656,23.223223223223226,20.22022022022022,0.0,0.0184246006818082,1.06679391882042,-0.0024515231735382,0.9913206105150376,3.6109592914408495,0.3949999999999818,1.0,-2.4490716503647434
2022,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,906,59.49227373068433,23.399558498896248,17.108167770419428,0.2207505518763796,0.043698334241011,1.1634156379477738,0.0237164773931133,1.0866235514381055,3.7842299011077785,0.4849999999998999,1.0,21.487128518160723
2023,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,935,60.962566844919785,22.88770053475936,16.149732620320854,0.106951871657754,0.0513399350280454,1.196430600920787,0.0295457913917204,1.110343702426605,3.4644351434656078,0.5014999999998508,1.0,27.625314951258577
2024,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,1004,59.26294820717132,20.617529880478088,20.1195219123506,0.199203187250996,0.0567879285018365,1.2262258296176116,0.0411378379922813,1.160910570736208,4.751564288370446,0.6765258747423104,1.0,41.30238934425046
2025,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,1032,62.5968992248062,22.57751937984496,14.825581395348838,0.0968992248062015,0.0641559054645382,1.2498257891519615,0.0541193330330656,1.2083896387289392,7.866838850712156,0.8974554141404951,1.0,55.8511516901237
2011,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,932,58.04721030042919,24.141630901287552,17.811158798283262,0.0,0.0175430602661559,1.0623614794273653,-0.0107106949614684,0.9631293739136922,3.8124999999998863,0.6219999999998436,1.0,-9.982367704088633
2012,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,889,57.14285714285714,22.947131608548933,19.910011248593925,0.1124859392575928,0.0240170545033336,1.087870931984084,-0.0075439877070914,0.9733940786922216,3.2825000000000277,0.5574999999998909,1.0,-6.706605071604322
2013,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,824,56.79611650485437,18.810679611650485,24.393203883495147,0.1213592233009708,0.0554526660275309,1.2320933600186124,0.0260448594368768,1.1050159608546732,3.7000757656101086,0.5830000000000837,1.0,21.46096417598654
2014,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,804,54.47761194029851,24.00497512437811,21.51741293532338,0.0,-0.0010388500844625,0.9963377265947194,-0.0440463740047898,0.8531157147093881,2.460499999999911,0.5369999999998072,1.0,-35.41328469985105
2015,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,833,57.022809123649466,21.84873949579832,21.12845138055222,0.0,0.0393126442434727,1.1522353491860224,-0.0017599234075587,0.9935208157836788,2.563999999999851,0.599999999999909,1.0,-1.4660161984964626
2016,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,981,56.574923547400616,24.770642201834864,18.654434250764528,0.0,0.0128884934312317,1.045642101430065,-0.0273160400976075,0.9077996490312,2.6304999999997563,0.600999999999658,1.0,-26.797035335753044
2017,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,936,51.28205128205128,25.64102564102564,23.07692307692308,0.1068376068376068,-0.0348880150417325,0.8851876075510441,-0.0831390849245359,0.7426431992040696,2.095749999999839,0.5324999999997999,1.0,-77.81818348936568
2018,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,1020,51.86274509803922,28.03921568627451,20.098039215686278,0.0,-0.0524876556513497,0.8372483469635373,-0.103456836026924,0.6986065246930636,1.9130875975527035,0.5424999999997908,1.0,-105.52597274746252
2019,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,931,49.516648764769066,29.001074113856067,21.482277121374864,0.0,-0.072527282036231,0.7825313329354588,-0.1171727000518532,0.6674605077917243,2.3519999999998618,0.6084999999998217,1.0,-109.08778374827536
2020,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,866,57.04387990762124,25.75057736720554,17.20554272517321,0.0,-0.0021118167931766,0.99282304257011,-0.0273946932291281,0.9097016617308736,4.355007872554211,0.6449999999997544,1.0,-23.72380433642495
2021,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,999,54.454454454454456,24.124124124124123,21.42142142142142,0.0,-0.003255332545123,0.9886576331063264,-0.0328320981450268,0.8895280232532027,3.708499999999958,0.5449999999998454,1.0,-32.799266046881804
2022,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,906,57.06401766004415,24.61368653421633,18.322295805739515,0.2207505518763796,0.0155297444877146,1.0547605078579745,-0.0129095776059964,0.9560307715055804,3.857499999999845,0.6349999999997635,1.0,-11.696077311032774
2023,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,935,59.144385026737964,23.9572192513369,16.898395721925134,0.106951871657754,0.028081946994011,1.1019389121764604,-0.0026426811230478,0.990739219812496,3.546499999999696,0.6514999999997144,1.0,-2.470906850049744
2024,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,1004,57.56972111553785,21.31474103585657,21.115537848605577,0.199203187250996,0.0399784797500536,1.1538091397161203,0.0172576143656025,1.0646161613225915,4.802407425020419,0.7935000000006767,1.0,17.326644823064946
2025,S18_C9_STRESS,stress,0.18,9.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,0.5,1032,62.1124031007752,23.06201550387597,14.825581395348838,0.0968992248062015,0.0561679754098542,1.2143035686818016,0.0413344649580763,1.1550686789376745,7.899205246896372,0.9274554141406952,1.0,42.6571678367348
2011,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,932,37.66094420600859,32.61802575107296,29.721030042918457,0.0,0.0455291580109409,1.1209168751684675,0.0251716053663004,1.0652827472934987,3.65625,0.4220000000000254,1.0,23.459936201392047
2012,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,889,35.54555680539933,30.483689538807653,33.970753655793025,0.0,0.059976612407055,1.1699041318269687,0.0371558840885642,1.1024191393597154,3.1269007379930827,0.4195000000001982,1.0,33.03158095473363
2013,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,824,37.74271844660194,25.364077669902912,36.89320388349515,0.0,0.1162453898588931,1.3726919045133532,0.0949304300295498,1.295972801561986,3.563204415542941,0.3830000000002656,1.0,78.22267434434906
2014,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,804,34.701492537313435,29.726368159203982,35.57213930348259,0.0,0.0598101787993203,1.1721398867625574,0.0269153553116418,1.0742613766382847,2.2757500000000164,0.3369999999999891,1.0,21.639945670560078
2015,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,833,37.69507803121249,30.732292917166863,31.57262905162065,0.0,0.0795135924234876,1.226965095510257,0.0486314157996386,1.1337079035894368,2.399013468356088,0.4000000000000909,1.0,40.509969361099
2016,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,981,37.61467889908257,33.53720693170234,28.848114169215087,0.0,0.0505960558186634,1.136017433000947,0.0205037181409657,1.0531448296057575,2.4446383721499387,0.4009999999998399,1.0,20.11414749628738
2017,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,936,33.22649572649573,32.05128205128205,34.72222222222222,0.1068376068376068,0.0190548083768485,1.0515122614780932,-0.0183386202703194,0.952680831478224,1.9121698337743285,0.3749753379145204,1.0,-17.164948573019043
2018,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,1020,35.98039215686274,34.411764705882355,29.607843137254903,0.0,0.0216888400108857,1.0556326474048745,-0.0180059669117986,0.9560060158415076,1.7159999999998945,0.3424999999999727,1.0,-18.3660862500346
2019,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,931,31.68635875402793,36.62728249194414,31.68635875402793,0.0,-0.0443069191938239,0.8927801264367745,-0.0785088741902228,0.8178968337243273,2.173500000000104,0.4085000000000036,1.0,-73.0917618710975
2020,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,866,37.29792147806005,33.94919168591224,28.752886836027717,0.0,0.02696139137688,1.070050397378938,0.0091393730691831,1.0232434112927329,4.260249999999815,0.4449999999999363,1.0,7.914697077912576
2021,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,999,36.53653653653654,30.03003003003003,33.43343343343344,0.0,0.0637504133401662,1.180602788816984,0.042525985335292,1.117467350390993,3.5822337321324085,0.3450000000000273,1.0,42.48345934995678
2022,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,906,36.42384105960264,32.671081677704194,30.90507726269316,0.0,0.052569960556424,1.1428229757600736,0.0323212302257354,1.085653298753383,3.761250000000132,0.4349999999999454,1.0,29.283034584516336
2023,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,935,39.25133689839572,31.122994652406412,29.62566844919786,0.106951871657754,0.0854378377740538,1.2390164432930155,0.0632371966484268,1.1723227575886266,3.4544351434656164,0.4514999999998963,1.0,59.1267788662791
2024,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,1004,34.8605577689243,27.689243027888445,37.45019920318725,0.099601593625498,0.0649966380263857,1.192153755996427,0.0492256221271767,1.1426030391784447,4.741564288370682,0.6665258747425469,1.0,49.42252461568543
2025,S10_C6,sensitivity,0.1,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,1032,39.53488372093023,31.1046511627907,29.360465116279077,0.0,0.0969720632204843,1.275735736657164,0.0869033036042159,1.2441466343345644,7.856838850712393,0.8874554141407316,1.0,89.68420931955086
2011,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,932,37.66094420600859,32.61802575107296,29.721030042918457,0.0,0.0449706556554456,1.1193864262172082,0.024794061776147,1.0642876498975828,3.679125951619653,0.4470000000001164,1.0,23.108065575369004
2012,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,889,35.43307086614173,30.483689538807653,34.08323959505062,0.0,0.0588082321338771,1.1665123939368522,0.0361829141867101,1.0997103655456455,3.1335963234269,0.4445000000002892,1.0,32.166610711985285
2013,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,824,37.74271844660194,25.364077669902912,36.89320388349515,0.0,0.1152683478987125,1.3689209156377335,0.0941516590236246,1.2931173261369486,3.5682044155430503,0.4080000000003565,1.0,77.58096703546668
2014,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,804,34.20398009950249,29.97512437810945,35.82089552238806,0.0,0.0517547901052635,1.1476615358105162,0.0194196092447251,1.0531363944178684,2.2934999999999945,0.36200000000008,1.0,15.613365832759024
2015,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,833,37.21488595438176,30.612244897959183,32.172869147659064,0.0,0.0790606904151017,1.2263412171575006,0.048629999851515,1.1341587584698398,2.40995712228937,0.4250000000001819,1.0,40.50878987631204
2016,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,981,37.41080530071356,33.53720693170234,29.051987767584095,0.0,0.0471173390153358,1.1263656350790767,0.0174280806496874,1.0450797253082815,2.466548099267129,0.4259999999999309,1.0,17.09694711734337
2017,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,936,33.01282051282051,32.15811965811966,34.82905982905983,0.1068376068376068,0.0140898170538027,1.037917609179932,-0.0225895653616046,0.9419345512978656,1.935046638606309,0.3799753379146295,1.0,-21.143833178461925
2018,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,1020,35.3921568627451,34.6078431372549,30.0,0.0,0.0130723223640602,1.0332672181408022,-0.0258268373039881,0.937349289418088,1.7402500000001735,0.3675000000000636,1.0,-26.343374050067883
2019,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,931,31.364124597207304,36.734693877551024,31.90118152524167,0.0,-0.0503190317237958,0.878872751225148,-0.0839159893271546,0.8062936697116179,2.1884484442218763,0.4335000000000946,1.0,-78.12578606358096
2020,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,866,36.95150115473441,33.94919168591224,29.099307159353348,0.0,0.0245151559119977,1.0636682865969134,0.0068037155019095,1.017298211186638,4.278144063550371,0.4700000000000273,1.0,5.892017624653636
2021,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,999,36.53653653653654,30.03003003003003,33.43343343343344,0.0,0.0638035471736214,1.1809975605898488,0.0427491460255506,1.1182688854485203,3.5948982478030302,0.3700000000001182,1.0,42.70639687952505
2022,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,906,36.42384105960264,32.671081677704194,30.90507726269316,0.0,0.0519646607614655,1.1411235581926482,0.0318427412362156,1.0843667027937185,3.777610509508577,0.4600000000000364,1.0,28.84952356001139
2023,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,935,39.037433155080215,31.22994652406417,29.732620320855613,0.106951871657754,0.0816042266920895,1.2274906830980792,0.0595988410596342,1.1618691251081403,3.4594351434657256,0.4764999999999872,1.0,55.724916390758
2024,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,1004,34.8605577689243,27.689243027888445,37.45019920318725,0.099601593625498,0.0644616458818222,1.1904584179732594,0.0487475339234941,1.1411411668917335,4.746564288370337,0.6715258747422013,1.0,48.94252405918812
2025,S11_C6_PRIMARY,primary,0.11,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,1032,39.53488372093023,31.1046511627907,29.360465116279077,0.0,0.0966878634043907,1.2748431975333985,0.0866350688840261,1.2433218310273697,7.861838850712047,0.892455414140386,1.0,89.40739108831498
2011,S12_C6,sensitivity,0.12,6.0,DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,STRUCTURAL,,1.0,932,37.44635193133048,32.83261802575107,29.721030042918457,0.0,0.0401190555718497,1.1058639571798212,0.0201307147211608,1.051889171194135,3.69855667391073,0.47199999999998,1.0,18.76182612012194
