sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R,sum_gross_R,sum_net_R_legacy22,sum_net_R_cost1_5x
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,2.5,932,7.188841201716738,38.51931330472103,54.29184549356223,0.0,-0.08417119889732293,0.8145074502905479,-0.13978771961074446,0.713667927503506,-0.16759597996745523,0.6687009083162867,4.3399999999998045,1.0,0.05069128729961561,-78.44755737230497,-130.28215467721384,-156.19945332966827
DISPLACEMENT_ORIGIN_ONLY,CLEAN_REJECTION,3.0,932,4.6137339055794,38.8412017167382,56.54506437768241,0.0,-0.08799352930245594,0.8074498561401552,-0.14361005001587746,0.707930292338498,-0.17141831037258823,0.6635626852569396,4.3399999999998045,1.0,0.05069128729961561,-82.00996930988893,-133.8445666147978,-159.76186526725223
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,0.5,158,56.32911392405063,41.139240506329116,2.5316455696202533,0.0,-0.12996947807616854,0.6852551365732283,-0.22913766860005477,0.4992987782227943,-0.27872176386199793,0.4198844672752578,2.317749999999819,3.0,0.09492552728854853,-20.53517753603463,-36.203751638808654,-44.03803869019567
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,1.0,158,36.708860759493675,55.06329113924051,8.227848101265822,0.0,-0.1766311445163857,0.6836365624198001,-0.275799335040272,0.5545187992530122,-0.32538343030221506,0.499482626794919,2.317749999999819,3.0,0.09492552728854853,-27.90772083358894,-43.57629493636297,-51.41058198774998
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,1.5,158,26.582278481012654,61.39240506329114,12.025316455696203,0.0,-0.18789726859716124,0.6984369285685272,-0.2870654591210476,0.5852758488261448,-0.33664955438299066,0.5371455442204868,2.317749999999819,3.0,0.09492552728854853,-29.687768438351476,-45.356342541125514,-53.19062959251252
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,2.0,158,19.62025316455696,65.18987341772153,15.18987341772152,0.0,-0.20818699084419787,0.6850674009398032,-0.30735518136808415,0.5810510977621183,-0.3569392766300272,0.5367560059956201,2.317749999999819,3.0,0.09492552728854853,-32.893544553383265,-48.562118656157296,-56.396405707544304
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,2.5,158,12.658227848101266,66.45569620253164,20.88607594936709,0.0,-0.2231446708565115,0.6690266019391691,-0.3223128613803978,0.5693334299414167,-0.37189695664234085,0.5269086207966024,2.317749999999819,3.0,0.09492552728854853,-35.256857995328815,-50.925432098102846,-58.759719149489854
DISPLACEMENT_ORIGIN_ONLY,FAILED_AUCTION,3.0,158,8.860759493670885,67.72151898734177,23.417721518987342,0.0,-0.24188157287223555,0.6478472511118002,-0.34104976339612186,0.5525488086597515,-0.390633858658065,0.5119954836850145,2.317749999999819,3.0,0.09492552728854853,-38.217288513813216,-53.885862616587254,-61.72014966797427
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,0.5,409,52.32273838630807,47.18826405867971,0.4889975550122249,12.224938875305623,-0.21031422428387864,0.5553004963902857,-0.3635814268916574,0.33734864143016946,-0.4402150281955468,0.24951976195763184,1.4976886596896293,4.0,0.14689301316175504,-86.01851773210636,-148.70480359868787,-180.04794653197865
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,1.0,409,38.63080684596577,59.65770171149144,1.7114914425427872,11.246943765281173,-0.20606433253770018,0.6553928150594674,-0.359331535145479,0.4799724433556188,-0.43596513644936835,0.4088559950996984,1.4976886596896293,4.0,0.14689301316175504,-84.28031200791938,-146.9665978745009,-178.30974080779166
DISPLACEMENT_ORIGIN_ONLY,PASSIVE_TOUCH,1.5,409,30.56234718826406,65.77017114914425,3.6674816625916873,11.00244498777506,-0.19004204129632793,0.7126456343972631,-0.34330924390410666,0.5504225620191228,-0.4199428452079961,0.4845994660342375,1.4976886596896293,4.0,0.14689301316175504,-77.72719489019812,-140.41348075677962,-171.7566236900704
