scenario,entry_time,exit_time,side,entry_px,exit_px,gross_usd,costs_usd,net_usd,gross_points,net_points,exit_reason
PRIMARY,2026-07-16 14:30:00-04:00,2026-07-16 15:59:00-04:00,short,29250.5,29217.25,665.0,5.0,660.0,33.25,33.0,eod
PRIMARY,2026-07-23 11:00:00-04:00,2026-07-23 12:00:00-04:00,short,28586.5,28598.0,-230.0,5.0,-235.0,-11.5,-11.75,trail
PRIMARY,2026-07-24 10:00:00-04:00,2026-07-24 11:00:00-04:00,short,28373.25,28467.5,-1885.0,5.0,-1890.0,-94.25,-94.5,trail
PRIMARY,2026-07-24 14:30:00-04:00,2026-07-24 15:59:00-04:00,short,28333.0,28283.5,990.0,5.0,985.0,49.5,49.25,eod
PRIMARY,2026-07-27 10:30:00-04:00,2026-07-27 12:30:00-04:00,short,28073.5,28176.5,-2060.0,5.0,-2065.0,-103.0,-103.25,trail
PRIMARY,2026-07-27 13:00:00-04:00,2026-07-27 15:00:00-04:00,short,28049.0,28174.75,-2515.0,5.0,-2520.0,-125.75,-126.0,trail
PRIMARY,2026-07-28 10:00:00-04:00,2026-07-28 11:00:00-04:00,short,27726.75,27833.0,-2125.0,5.0,-2130.0,-106.25,-106.5,trail
PRIMARY,2026-07-29 10:00:00-04:00,2026-07-29 14:00:00-04:00,short,27752.5,27853.25,-2015.0,5.0,-2020.0,-100.75,-101.0,trail
PRIMARY,2026-07-30 10:00:00-04:00,2026-07-30 11:00:00-04:00,long,28156.0,28026.75,-2585.0,5.0,-2590.0,-129.25,-129.5,trail
PRIMARY,2026-07-30 12:00:00-04:00,2026-07-30 15:59:00-04:00,long,28070.25,28228.75,3170.0,5.0,3165.0,158.5,158.25,eod
STRESS,2026-02-20 11:00:00-05:00,2026-02-20 11:30:00-05:00,long,25103.25,24982.75,-2410.0,5.0,-2415.0,-120.5,-120.75,trail
STRESS,2026-02-20 12:00:00-05:00,2026-02-20 12:30:00-05:00,long,25092.75,24946.75,-2920.0,5.0,-2925.0,-146.0,-146.25,trail
STRESS,2026-02-23 11:00:00-05:00,2026-02-23 13:00:00-05:00,short,24752.5,24756.0,-70.0,5.0,-75.0,-3.5,-3.75,trail
STRESS,2026-02-23 15:00:00-05:00,2026-02-23 15:59:00-05:00,short,24703.25,24768.5,-1305.0,5.0,-1310.0,-65.25,-65.5,eod
STRESS,2026-02-24 10:30:00-05:00,2026-02-24 11:30:00-05:00,long,25016.75,24987.75,-580.0,5.0,-585.0,-29.0,-29.25,trail
STRESS,2026-02-24 12:00:00-05:00,2026-02-24 15:59:00-05:00,long,25023.25,25029.5,125.0,5.0,120.0,6.25,6.0,eod
STRESS,2026-02-25 10:00:00-05:00,2026-02-25 11:00:00-05:00,long,25342.75,25307.25,-710.0,5.0,-715.0,-35.5,-35.75,trail
STRESS,2026-02-25 15:00:00-05:00,2026-02-25 15:59:00-05:00,long,25371.5,25384.0,250.0,5.0,245.0,12.5,12.25,eod
STRESS,2026-02-26 10:00:00-05:00,2026-02-26 15:00:00-05:00,short,25175.5,25064.25,2225.0,5.0,2220.0,111.25,111.0,trail
STRESS,2026-02-26 15:30:00-05:00,2026-02-26 15:59:00-05:00,short,25032.0,25083.75,-1035.0,5.0,-1040.0,-51.75,-52.0,eod
STRESS,2026-03-04 10:00:00-05:00,2026-03-04 15:59:00-05:00,long,24966.75,25119.5,3055.0,5.0,3050.0,152.75,152.5,eod
STRESS,2026-03-09 15:30:00-04:00,2026-03-09 15:59:00-04:00,long,24904.5,24991.75,1745.0,5.0,1740.0,87.25,87.0,eod
STRESS,2026-03-11 10:00:00-04:00,2026-03-11 10:30:00-04:00,long,25174.0,25026.5,-2950.0,5.0,-2955.0,-147.5,-147.75,trail
STRESS,2026-03-13 10:00:00-04:00,2026-03-13 10:30:00-04:00,long,24753.0,24699.25,-1075.0,5.0,-1080.0,-53.75,-54.0,trail
STRESS,2026-03-18 15:00:00-04:00,2026-03-18 15:59:00-04:00,short,24533.75,24435.25,1970.0,5.0,1965.0,98.5,98.25,eod
STRESS,2026-03-19 10:00:00-04:00,2026-03-19 10:30:00-04:00,long,24530.0,24430.5,-1990.0,5.0,-1995.0,-99.5,-99.75,trail
STRESS,2026-03-20 10:00:00-04:00,2026-03-20 12:00:00-04:00,short,24278.5,24319.5,-820.0,5.0,-825.0,-41.0,-41.25,trail
STRESS,2026-03-20 12:30:00-04:00,2026-03-20 15:59:00-04:00,short,24283.25,24114.0,3385.0,5.0,3380.0,169.25,169.0,eod
STRESS,2026-03-23 10:00:00-04:00,2026-03-23 12:00:00-04:00,long,24590.25,24390.75,-3990.0,5.0,-3995.0,-199.5,-199.75,trail
STRESS,2026-03-26 12:30:00-04:00,2026-03-26 15:59:00-04:00,short,24002.75,23787.25,4310.0,5.0,4305.0,215.5,215.25,eod
STRESS,2026-03-27 10:00:00-04:00,2026-03-27 11:30:00-04:00,short,23506.25,23576.75,-1410.0,5.0,-1415.0,-70.5,-70.75,trail
STRESS,2026-03-27 12:00:00-04:00,2026-03-27 15:59:00-04:00,short,23539.75,23309.25,4610.0,5.0,4605.0,230.5,230.25,eod
STRESS,2026-03-30 14:30:00-04:00,2026-03-30 15:59:00-04:00,short,23164.25,23136.0,565.0,5.0,560.0,28.25,28.0,eod
STRESS,2026-03-31 10:00:00-04:00,2026-03-31 11:00:00-04:00,long,23571.0,23427.75,-2865.0,5.0,-2870.0,-143.25,-143.5,trail
