entry_time,exit_time,side,entry,stop,target,risk_price,exit,exit_reason,gross_R,commission_R,net_R,date,scenario
2025-07-18 09:35:00,2025-07-18 11:30:00,SHORT,561.4295916200001,561.951,556.215507820001,0.5214083799999116,562.0633902,SL,-1.2155511961659595,0.03835764971787256,-1.2539088458838321,2025-07-18,STRESS
2025-07-21 09:35:00,2025-07-21 15:55:00,LONG,561.83757814,560.694,573.2733595400005,1.143578140000045,562.73262111,TIME,0.7826688345056402,0.00874448334593,0.7739243511597101,2025-07-21,PRIMARY
2025-07-21 09:35:00,2025-07-21 15:55:00,LONG,561.8937562799999,560.694,573.8913190799997,1.1997562799999741,562.67634222,TIME,0.6522874295770476,0.016670052354300184,0.6356173772227474,2025-07-21,STRESS
2025-07-22 09:35:00,2025-07-22 15:55:00,SHORT,561.53564082,562.9784,547.1080490200006,1.442759179999939,559.9818925899999,TIME,1.0769283270130887,0.006931163661007114,1.0699971633520815,2025-07-22,PRIMARY
2025-07-22 09:35:00,2025-07-22 15:55:00,SHORT,561.47948164,562.9784,546.4902980400005,1.4989183599999478,560.03788518,TIME,0.9617578238217578,0.013342954849122467,0.9484148689726353,2025-07-22,STRESS
2025-07-23 09:35:00,2025-07-23 11:50:00,SHORT,559.90980342,561.0033,548.9748376200004,1.0934965799999645,561.05940033,SL,-1.0513036172459278,0.009144976018123738,-1.0604485932640515,2025-07-23,PRIMARY
2025-07-23 09:35:00,2025-07-23 11:50:00,SHORT,559.85380684,561.0033,548.3588752399997,1.14949316000002,561.11550066,SL,-1.0976088104778134,0.017398972604586574,-1.1150077830824001,2025-07-23,STRESS
2025-07-24 09:35:00,2025-07-24 09:45:00,SHORT,563.55053931,564.3451,555.6049324099997,0.7945606900000257,564.40153451,SL,-1.0710260534032072,0.012585571027934539,-1.0836116244311418,2025-07-24,PRIMARY
2025-07-24 09:35:00,2025-07-24 09:45:00,SHORT,563.49417862,564.3451,554.9849648199995,0.8509213800000452,564.45796902,SL,-1.1326433001365441,0.02350393405322468,-1.1561472341897687,2025-07-24,STRESS
2025-07-25 09:35:00,2025-07-25 09:35:00,LONG,563.75306967,563.1879,569.4047663699993,0.565169669999932,563.13158121,SL,-1.0996493495484008,0.017693801579977218,-1.117343151128378,2025-07-25,PRIMARY
2025-07-25 09:35:00,2025-07-25 09:35:00,LONG,563.8094393399999,563.1879,570.024832739999,0.621539339999913,563.0752624200001,SL,-1.1812235730725762,0.03217817234224112,-1.2134017454148174,2025-07-25,STRESS
2025-07-28 09:35:00,2025-07-28 11:15:00,LONG,566.9455888900001,566.1607,574.7944777900005,0.7848888900000475,566.10408393,SL,-1.072132591913761,0.012740656833605321,-1.0848732487473662,2025-07-28,PRIMARY
