year,sample,entry_model,target_r,trades,tp_pct,sl_pct,time_pct,ambiguous_same_bar_pct,avg_gross_R,pf_gross,avg_net_R_legacy22,pf_net_legacy22,avg_net_R_cost1_5x,pf_net_cost1_5x,median_risk_price,median_entry_delay_minutes,median_legacy_commission_R,sum_gross_R,sum_net_R_legacy22,sum_net_R_cost1_5x
2014,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,42,7.142857142857142,66.66666666666666,26.190476190476197,9.523809523809524,-0.3757104322870404,0.4646742044728728,-0.4991627195336119,0.3755484145409759,-0.5608888631568979,0.3395477156729929,1.7039999999997235,8.0,0.1291079812206782,-15.779838156055698,-20.964834220411703,-23.55733225258971
2015,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,33,15.151515151515152,66.66666666666666,18.181818181818183,0.0,-0.1562502776578955,0.7656245835131568,-0.2712328989899084,0.6361092312081449,-0.3287242096559148,0.5810937163639586,1.8859999999999677,7.0,0.1166489925768843,-5.156259162710553,-8.950685666666978,-10.847898918645187
2016,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,22,13.636363636363637,68.18181818181817,18.181818181818183,22.727272727272727,-0.3840109688446217,0.470632879905333,-0.4980028987546256,0.3938598994850886,-0.5549988637096277,0.3620229706132588,1.9389999999996237,7.0,0.1134794110073498,-8.44824131458168,-10.956063772601764,-12.20997500161181
2017,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,18,5.555555555555555,66.66666666666666,27.77777777777778,5.555555555555555,-0.3055289907598897,0.5462406497889498,-0.4424285489008563,0.4266203096565078,-0.5108783279713398,0.378649180166758,1.5270000000000437,9.0,0.1440783514492712,-5.499521833678015,-7.963713880215415,-9.195809903484117
2018,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,17,5.88235294117647,70.58823529411765,23.52941176470588,0.0,-0.5871653959883918,0.2151478641573943,-0.7356056963314356,0.1617412097993303,-0.8098258465029575,0.1405394305404908,1.4079999999989925,6.0,0.1562500000001118,-9.98181173180266,-12.505296837634404,-13.767039390550275
2019,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,38,5.263157894736842,76.31578947368422,18.421052631578945,10.526315789473683,-0.6215470839792209,0.2019890075253804,-0.7380598194526088,0.161364743886068,-0.7963161871893029,0.1456569221712115,1.8420000000000984,9.5,0.1194494783296581,-23.618789191210396,-28.046273139199133,-30.26001511319351
2020,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,46,23.91304347826087,63.04347826086957,13.043478260869565,17.391304347826086,0.0104316016965744,1.0164900315705987,-0.0709132370837682,0.8972465239178188,-0.1115856564739396,0.844790853983432,2.7670000000000528,8.0,0.0795139868543407,0.4798536780424252,-3.26200890585334,-5.132940197801223
2021,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,27,18.51851851851852,74.07407407407408,7.4074074074074066,11.11111111111111,-0.254395910006895,0.6665697256039348,-0.355970063130104,0.5776885911508783,-0.4067571396917085,0.5392840335124075,2.161999999999807,6.0,0.1017576318223957,-6.868689570186166,-9.611191704512809,-10.98244277167613
2022,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,40,20.0,72.5,7.5,17.5,-0.1699503199235584,0.7751421600430893,-0.2630414620842171,0.6814882880262406,-0.3095870331645464,0.6403755776355744,2.289922994567405,8.0,0.0960737762452234,-6.798012796942338,-10.521658483368684,-12.383481326581856
2023,OBJECTIVE_LIQUIDITY_ONLY,ACCEPTANCE_RETEST,2.5,32,21.875,75.0,3.125,18.75,-0.1988831018518505,0.7348225308641992,-0.3020128619422835,0.6349467885573524,-0.3535777419875,0.5916964483986192,2.0279999999995653,6.5,0.108482950456169,-6.364259259259217,-9.664411582153074,-11.3144877436
