datetime,open_yahoo,high_yahoo,low_yahoo,close_yahoo,volume_yahoo,open_get,high_get,low_get,close_get,volume_get,open_abs_diff,high_abs_diff,low_abs_diff,close_abs_diff,max_ohlc_abs_diff
2026-07-29 12:33:00,27544.5,27556.25,27541.5,27548.75,756,27544.5,27556.25,27541.5,27548.75,756,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:34:00,27548.25,27560.0,27525.0,27525.75,1202,27548.25,27560.0,27525.0,27525.75,1206,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:35:00,27525.5,27527.25,27500.75,27512.25,1548,27525.25,27527.25,27500.75,27514.0,1546,0.25,0.0,0.0,1.75,1.75
2026-07-29 12:36:00,27513.75,27519.25,27495.5,27500.25,927,27513.5,27519.25,27495.5,27499.75,925,0.25,0.0,0.0,0.5,0.5
2026-07-29 12:37:00,27500.75,27522.25,27498.75,27518.25,906,27500.25,27522.25,27498.75,27519.0,906,0.5,0.0,0.0,0.75,0.75
2026-07-29 12:38:00,27519.0,27524.25,27510.75,27514.75,679,27519.0,27524.25,27510.75,27514.75,678,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:39:00,27515.75,27533.0,27511.5,27528.25,784,27515.75,27533.0,27511.5,27527.75,786,0.0,0.0,0.0,0.5,0.5
2026-07-29 12:40:00,27526.0,27537.25,27511.0,27535.25,658,27527.25,27537.25,27511.0,27535.5,658,1.25,0.0,0.0,0.25,1.25
2026-07-29 12:41:00,27534.25,27539.25,27519.5,27521.0,643,27534.25,27539.25,27519.5,27521.5,643,0.0,0.0,0.0,0.5,0.5
2026-07-29 12:42:00,27521.25,27522.25,27489.5,27498.5,1027,27521.25,27522.25,27489.5,27498.5,1025,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:43:00,27498.25,27504.25,27488.0,27489.75,731,27498.25,27504.25,27488.0,27489.75,731,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:44:00,27488.25,27506.0,27485.25,27504.25,644,27488.75,27506.0,27485.25,27504.0,647,0.5,0.0,0.0,0.25,0.5
2026-07-29 12:45:00,27503.5,27507.0,27489.5,27496.5,722,27502.5,27507.0,27489.5,27495.75,721,1.0,0.0,0.0,0.75,1.0
2026-07-29 12:46:00,27496.25,27503.75,27491.25,27500.5,637,27493.75,27503.75,27491.25,27500.75,637,2.5,0.0,0.0,0.25,2.5
2026-07-29 12:47:00,27500.75,27531.25,27499.5,27527.25,886,27500.5,27531.25,27499.5,27527.25,884,0.25,0.0,0.0,0.0,0.25
2026-07-29 12:48:00,27528.0,27536.75,27521.5,27526.0,894,27529.0,27536.75,27521.5,27526.0,894,1.0,0.0,0.0,0.0,1.0
2026-07-29 12:49:00,27525.25,27554.5,27523.75,27552.5,949,27525.25,27554.5,27523.75,27553.0,950,0.0,0.0,0.0,0.5,0.5
2026-07-29 12:50:00,27553.25,27564.0,27536.75,27550.0,946,27552.0,27564.0,27536.75,27550.0,945,1.25,0.0,0.0,0.0,1.25
2026-07-29 12:51:00,27550.0,27558.25,27542.75,27547.75,762,27549.0,27558.25,27542.75,27547.5,763,1.0,0.0,0.0,0.25,1.0
2026-07-29 12:52:00,27548.0,27570.5,27533.5,27568.5,870,27547.25,27570.5,27533.5,27568.5,869,0.75,0.0,0.0,0.0,0.75
2026-07-29 12:53:00,27569.0,27575.5,27562.25,27570.75,843,27567.25,27575.5,27562.25,27570.75,843,1.75,0.0,0.0,0.0,1.75
2026-07-29 12:54:00,27570.5,27571.25,27552.25,27563.0,639,27570.5,27571.25,27552.25,27563.0,639,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:55:00,27562.5,27579.25,27556.0,27566.75,862,27561.5,27579.25,27556.0,27566.75,862,1.0,0.0,0.0,0.0,1.0
2026-07-29 12:56:00,27567.0,27579.5,27558.5,27578.75,576,27566.75,27579.5,27558.5,27578.75,576,0.25,0.0,0.0,0.0,0.25
2026-07-29 12:57:00,27579.0,27593.0,27573.5,27586.5,835,27579.0,27593.0,27573.5,27586.5,835,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:58:00,27586.75,27588.25,27572.25,27584.25,782,27586.75,27588.25,27572.25,27584.25,782,0.0,0.0,0.0,0.0,0.0
2026-07-29 12:59:00,27586.0,27603.5,27583.5,27603.25,1287,27583.5,27603.5,27583.5,27603.25,1287,2.5,0.0,0.0,0.0,2.5
2026-07-29 13:00:00,27604.25,27614.5,27595.25,27610.5,1221,27603.75,27614.5,27595.25,27611.0,1222,0.5,0.0,0.0,0.5,0.5
2026-07-29 13:01:00,27610.0,27624.0,27606.75,27613.5,819,27610.0,27624.0,27606.75,27613.5,818,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:02:00,27612.0,27621.0,27605.75,27616.5,800,27612.75,27621.0,27605.75,27616.5,800,0.75,0.0,0.0,0.0,0.75
2026-07-29 13:03:00,27614.5,27647.75,27610.75,27642.75,1327,27615.0,27647.75,27610.75,27642.75,1330,0.5,0.0,0.0,0.0,0.5
2026-07-29 13:04:00,27643.5,27665.0,27638.0,27661.0,1256,27643.5,27665.0,27638.0,27661.0,1262,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:05:00,27659.0,27662.0,27634.25,27642.25,1105,27659.75,27662.0,27634.25,27642.25,1097,0.75,0.0,0.0,0.0,0.75
2026-07-29 13:06:00,27643.25,27661.0,27636.0,27655.0,880,27642.5,27661.0,27636.0,27654.75,881,0.75,0.0,0.0,0.25,0.75
2026-07-29 13:07:00,27655.75,27658.0,27637.75,27642.25,849,27655.25,27658.0,27637.75,27642.25,848,0.5,0.0,0.0,0.0,0.5
2026-07-29 13:08:00,27643.0,27658.0,27635.75,27650.0,746,27643.0,27658.0,27635.75,27650.0,745,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:09:00,27652.25,27657.5,27643.0,27652.75,682,27649.0,27657.5,27643.0,27652.75,683,3.25,0.0,0.0,0.0,3.25
2026-07-29 13:10:00,27651.25,27686.75,27648.25,27681.25,1351,27652.25,27686.75,27648.25,27682.0,1355,1.0,0.0,0.0,0.75,1.0
2026-07-29 13:11:00,27681.5,27691.25,27678.25,27686.25,756,27681.5,27691.25,27678.25,27686.25,756,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:12:00,27686.0,27698.5,27673.0,27697.75,893,27686.0,27698.5,27673.0,27696.75,894,0.0,0.0,0.0,1.0,1.0
2026-07-29 13:13:00,27696.5,27722.5,27696.5,27712.5,1423,27696.5,27722.5,27696.5,27712.5,1417,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:14:00,27713.25,27737.25,27707.5,27735.25,1400,27712.25,27737.25,27707.5,27736.5,1403,1.0,0.0,0.0,1.25,1.25
2026-07-29 13:15:00,27736.5,27739.75,27719.25,27723.0,1323,27736.5,27739.75,27719.25,27723.0,1320,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:16:00,27721.5,27729.0,27712.75,27716.5,922,27723.5,27729.0,27712.75,27715.75,924,2.0,0.0,0.0,0.75,2.0
2026-07-29 13:17:00,27715.0,27732.5,27709.0,27721.25,730,27715.5,27732.5,27709.0,27722.0,731,0.5,0.0,0.0,0.75,0.75
2026-07-29 13:18:00,27722.0,27733.0,27711.25,27718.0,1097,27721.5,27733.0,27711.25,27717.5,1096,0.5,0.0,0.0,0.5,0.5
2026-07-29 13:19:00,27717.75,27722.5,27711.0,27715.5,625,27717.0,27722.5,27711.0,27715.5,628,0.75,0.0,0.0,0.0,0.75
2026-07-29 13:20:00,27715.5,27734.5,27713.25,27728.25,1574,27714.25,27734.5,27713.25,27726.75,1577,1.25,0.0,0.0,1.5,1.5
2026-07-29 13:21:00,27726.75,27748.0,27717.75,27746.25,760,27727.5,27748.0,27717.75,27746.25,750,0.75,0.0,0.0,0.0,0.75
2026-07-29 13:22:00,27745.75,27750.0,27723.0,27724.25,749,27745.75,27750.0,27723.0,27724.25,749,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:23:00,27722.25,27736.25,27716.0,27729.0,874,27725.75,27736.25,27716.0,27728.0,876,3.5,0.0,0.0,1.0,3.5
2026-07-29 13:24:00,27727.5,27727.75,27691.75,27694.25,1048,27727.75,27727.75,27691.75,27694.25,1046,0.25,0.0,0.0,0.0,0.25
2026-07-29 13:25:00,27693.75,27698.75,27678.75,27685.0,1166,27693.75,27698.75,27678.75,27685.0,1156,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:26:00,27685.75,27700.75,27680.0,27697.75,921,27684.75,27700.75,27680.0,27697.75,921,1.0,0.0,0.0,0.0,1.0
2026-07-29 13:27:00,27697.75,27702.5,27678.5,27680.0,477,27697.75,27702.5,27678.5,27680.0,477,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:28:00,27679.5,27688.25,27672.0,27680.25,648,27679.5,27688.25,27672.0,27680.25,648,0.0,0.0,0.0,0.0,0.0
2026-07-29 13:29:00,27679.75,27682.0,27651.0,27651.0,859,27681.75,27682.0,27650.75,27650.75,860,2.0,0.0,0.25,0.25,2.0
2026-07-29 13:30:00,27651.5,27657.5,27634.25,27636.0,1116,27650.75,27657.5,27634.25,27636.0,1115,0.75,0.0,0.0,0.0,0.75
